#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.191621E+07   0.191621E+07   0.255483E+07   0.255483E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192464E+07  -0.600622E+00   0.191309E+07   0.191309E+07   0.491752E+00
   0.116112E-04   0.191621E+07   0.191621E+07   0.255481E+07   0.255480E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192464E+07  -0.600621E+00   0.191309E+07   0.191309E+07   0.542946E+00
   0.128200E-04   0.191621E+07   0.191621E+07   0.255478E+07   0.255477E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192464E+07  -0.600621E+00   0.191309E+07   0.191309E+07   0.599469E+00
   0.141547E-04   0.191621E+07   0.191621E+07   0.255474E+07   0.255473E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192464E+07  -0.600621E+00   0.191309E+07   0.191309E+07   0.661875E+00
   0.156284E-04   0.191621E+07   0.191621E+07   0.255469E+07   0.255469E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192464E+07  -0.600621E+00   0.191309E+07   0.191309E+07   0.730776E+00
   0.172555E-04   0.191621E+07   0.191621E+07   0.255464E+07   0.255463E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192463E+07  -0.600621E+00   0.191309E+07   0.191309E+07   0.806847E+00
   0.190520E-04   0.191621E+07   0.191621E+07   0.255457E+07   0.255456E+07   0.191646E+07   0.191622E+07   0.191621E+07   0.192463E+07  -0.600620E+00   0.191309E+07   0.191309E+07   0.890835E+00
   0.210355E-04   0.191620E+07   0.191620E+07   0.255449E+07   0.255448E+07   0.191646E+07   0.191622E+07   0.191620E+07   0.192463E+07  -0.600620E+00   0.191309E+07   0.191309E+07   0.983563E+00
   0.232256E-04   0.191620E+07   0.191620E+07   0.255439E+07   0.255438E+07   0.191646E+07   0.191621E+07   0.191620E+07   0.192463E+07  -0.600619E+00   0.191309E+07   0.191309E+07   0.108594E+01
   0.256436E-04   0.191620E+07   0.191620E+07   0.255426E+07   0.255425E+07   0.191645E+07   0.191621E+07   0.191620E+07   0.192463E+07  -0.600619E+00   0.191309E+07   0.191309E+07   0.119896E+01
   0.283134E-04   0.191620E+07   0.191620E+07   0.255411E+07   0.255410E+07   0.191645E+07   0.191621E+07   0.191620E+07   0.192463E+07  -0.600618E+00   0.191309E+07   0.191309E+07   0.132374E+01
   0.312612E-04   0.191620E+07   0.191620E+07   0.255393E+07   0.255392E+07   0.191645E+07   0.191621E+07   0.191620E+07   0.192462E+07  -0.600617E+00   0.191308E+07   0.191308E+07   0.146150E+01
   0.345158E-04   0.191620E+07   0.191620E+07   0.255371E+07   0.255369E+07   0.191645E+07   0.191621E+07   0.191620E+07   0.192462E+07  -0.600616E+00   0.191308E+07   0.191308E+07   0.161357E+01
   0.381093E-04   0.191619E+07   0.191619E+07   0.255344E+07   0.255341E+07   0.191644E+07   0.191620E+07   0.191619E+07   0.192462E+07  -0.600615E+00   0.191308E+07   0.191308E+07   0.178145E+01
   0.420769E-04   0.191619E+07   0.191619E+07   0.255311E+07   0.255308E+07   0.191644E+07   0.191620E+07   0.191619E+07   0.192461E+07  -0.600613E+00   0.191307E+07   0.191307E+07   0.196677E+01
   0.464576E-04   0.191618E+07   0.191618E+07   0.255271E+07   0.255267E+07   0.191643E+07   0.191620E+07   0.191618E+07   0.192461E+07  -0.600611E+00   0.191307E+07   0.191307E+07   0.217133E+01
   0.512944E-04   0.191618E+07   0.191618E+07   0.255221E+07   0.255217E+07   0.191643E+07   0.191619E+07   0.191618E+07   0.192460E+07  -0.600609E+00   0.191307E+07   0.191306E+07   0.239712E+01
   0.566347E-04   0.191617E+07   0.191617E+07   0.255162E+07   0.255156E+07   0.191642E+07   0.191618E+07   0.191617E+07   0.192459E+07  -0.600606E+00   0.191306E+07   0.191306E+07   0.264632E+01
   0.625311E-04   0.191616E+07   0.191616E+07   0.255089E+07   0.255082E+07   0.191641E+07   0.191618E+07   0.191616E+07   0.192458E+07  -0.600603E+00   0.191305E+07   0.191305E+07   0.292134E+01
   0.690413E-04   0.191615E+07   0.191615E+07   0.255000E+07   0.254992E+07   0.191640E+07   0.191617E+07   0.191615E+07   0.192457E+07  -0.600598E+00   0.191304E+07   0.191304E+07   0.322482E+01
   0.762293E-04   0.191614E+07   0.191614E+07   0.254892E+07   0.254882E+07   0.191638E+07   0.191615E+07   0.191614E+07   0.192455E+07  -0.600593E+00   0.191303E+07   0.191303E+07   0.355967E+01
   0.841656E-04   0.191613E+07   0.191613E+07   0.254760E+07   0.254748E+07   0.191636E+07   0.191614E+07   0.191613E+07   0.192453E+07  -0.600587E+00   0.191301E+07   0.191301E+07   0.392907E+01
   0.929282E-04   0.191611E+07   0.191611E+07   0.254599E+07   0.254585E+07   0.191634E+07   0.191612E+07   0.191611E+07   0.192451E+07  -0.600579E+00   0.191300E+07   0.191300E+07   0.433651E+01
