#           k/h    P           
    0.10000E-03    0.25651E+00
    0.10202E-03    0.26151E+00
    0.10408E-03    0.26661E+00
    0.10618E-03    0.27181E+00
    0.10833E-03    0.27712E+00
    0.11052E-03    0.28252E+00
    0.11275E-03    0.28803E+00
    0.11503E-03    0.29365E+00
    0.11735E-03    0.29938E+00
    0.11972E-03    0.30522E+00
    0.12214E-03    0.31117E+00
    0.12461E-03    0.31724E+00
    0.12712E-03    0.32343E+00
    0.12969E-03    0.32973E+00
    0.13231E-03    0.33616E+00
    0.13499E-03    0.34272E+00
    0.13771E-03    0.34940E+00
    0.14049E-03    0.35622E+00
    0.14333E-03    0.36317E+00
    0.14623E-03    0.37025E+00
    0.14918E-03    0.37747E+00
    0.15220E-03    0.38483E+00
    0.15527E-03    0.39233E+00
    0.15841E-03    0.39999E+00
    0.16161E-03    0.40779E+00
    0.16487E-03    0.41574E+00
    0.16820E-03    0.42384E+00
    0.17160E-03    0.43211E+00
    0.17507E-03    0.44054E+00
    0.17860E-03    0.44913E+00
    0.18221E-03    0.45788E+00
    0.18589E-03    0.46681E+00
    0.18965E-03    0.47591E+00
    0.19348E-03    0.48519E+00
    0.19739E-03    0.49465E+00
    0.20138E-03    0.50430E+00
    0.20544E-03    0.51413E+00
    0.20959E-03    0.52415E+00
    0.21383E-03    0.53437E+00
    0.21815E-03    0.54479E+00
    0.22255E-03    0.55541E+00
    0.22705E-03    0.56624E+00
    0.23164E-03    0.57727E+00
    0.23632E-03    0.58853E+00
    0.24109E-03    0.60000E+00
    0.24596E-03    0.61169E+00
    0.25093E-03    0.62362E+00
    0.25600E-03    0.63577E+00
    0.26117E-03    0.64816E+00
    0.26645E-03    0.66079E+00
    0.27183E-03    0.67367E+00
    0.27732E-03    0.68680E+00
    0.28292E-03    0.70018E+00
    0.28864E-03    0.71382E+00
    0.29447E-03    0.72773E+00
    0.30042E-03    0.74191E+00
    0.30649E-03    0.75637E+00
    0.31268E-03    0.77110E+00
    0.31899E-03    0.78612E+00
    0.32544E-03    0.80144E+00
    0.33201E-03    0.81705E+00
    0.33872E-03    0.83296E+00
    0.34556E-03    0.84918E+00
    0.35254E-03    0.86572E+00
    0.35966E-03    0.88258E+00
    0.36693E-03    0.89976E+00
    0.37434E-03    0.91728E+00
    0.38190E-03    0.93514E+00
    0.38962E-03    0.95335E+00
    0.39749E-03    0.97190E+00
    0.40552E-03    0.99082E+00
    0.41371E-03    0.10101E+01
    0.42207E-03    0.10298E+01
    0.43060E-03    0.10498E+01
    0.43929E-03    0.10702E+01
    0.44817E-03    0.10910E+01
    0.45722E-03    0.11123E+01
    0.46646E-03    0.11339E+01
    0.47588E-03    0.11560E+01
    0.48550E-03    0.11784E+01
    0.49530E-03    0.12013E+01
    0.50531E-03    0.12247E+01
    0.51552E-03    0.12485E+01
    0.52593E-03    0.12728E+01
    0.53656E-03    0.12975E+01
    0.54739E-03    0.13227E+01
    0.55845E-03    0.13484E+01
    0.56973E-03    0.13746E+01
    0.58124E-03    0.14013E+01
    0.59299E-03    0.14285E+01
    0.60496E-03    0.14562E+01
    0.61719E-03    0.14845E+01
    0.62965E-03    0.15133E+01
    0.64237E-03    0.15426E+01
    0.65535E-03    0.15725E+01
    0.66859E-03    0.16030E+01
    0.68210E-03    0.16341E+01
    0.69588E-03    0.16658E+01
    0.70993E-03    0.16980E+01
    0.72427E-03    0.17309E+01
    0.73891E-03    0.17644E+01
    0.75383E-03    0.17986E+01
    0.76906E-03    0.18334E+01
    0.78460E-03    0.18689E+01
    0.80045E-03    0.19050E+01
    0.81662E-03    0.19418E+01
    0.83311E-03    0.19793E+01
    0.84994E-03    0.20176E+01
    0.86711E-03    0.20565E+01
    0.88463E-03    0.20962E+01
    0.90250E-03    0.21367E+01
    0.92073E-03    0.21779E+01
    0.93933E-03    0.22198E+01
    0.95831E-03    0.22626E+01
    0.97767E-03    0.23062E+01
    0.99742E-03    0.23506E+01
    0.10176E-02    0.23958E+01
    0.10381E-02    0.24418E+01
    0.10591E-02    0.24887E+01
    0.10805E-02    0.25365E+01
    0.11023E-02    0.25852E+01
    0.11246E-02    0.26348E+01
    0.11473E-02    0.26852E+01
    0.11705E-02    0.27367E+01
    0.11941E-02    0.27890E+01
    0.12182E-02    0.28423E+01
    0.12429E-02    0.28966E+01
    0.12680E-02    0.29519E+01
    0.12936E-02    0.30082E+01
    0.13197E-02    0.30655E+01
    0.13464E-02    0.31239E+01
    0.13736E-02    0.31833E+01
    0.14013E-02    0.32438E+01
    0.14296E-02    0.33053E+01
    0.14585E-02    0.33680E+01
    0.14880E-02    0.34318E+01
    0.15180E-02    0.34967E+01
    0.15487E-02    0.35627E+01
    0.15800E-02    0.36299E+01
    0.16119E-02    0.36983E+01
    0.16445E-02    0.37679E+01
    0.16777E-02    0.38386E+01
    0.17116E-02    0.39106E+01
    0.17462E-02    0.39839E+01
    0.17814E-02    0.40584E+01
    0.18174E-02    0.41341E+01
    0.18541E-02    0.42111E+01
    0.18916E-02    0.42895E+01
    0.19298E-02    0.43691E+01
    0.19688E-02    0.44500E+01
    0.20086E-02    0.45323E+01
    0.20491E-02    0.46159E+01
    0.20905E-02    0.47009E+01
    0.21328E-02    0.47873E+01
    0.21758E-02    0.48750E+01
    0.22198E-02    0.49641E+01
    0.22646E-02    0.50546E+01
    0.23104E-02    0.51466E+01
    0.23571E-02    0.52399E+01
    0.24047E-02    0.53347E+01
    0.24533E-02    0.54309E+01
    0.25028E-02    0.55285E+01
    0.25534E-02    0.56276E+01
    0.26050E-02    0.57281E+01
    0.26576E-02    0.58301E+01
    0.27113E-02    0.59335E+01
    0.27660E-02    0.60384E+01
    0.28219E-02    0.61447E+01
    0.28789E-02    0.62525E+01
    0.29371E-02    0.63617E+01
    0.29964E-02    0.64724E+01
    0.30569E-02    0.65845E+01
    0.31187E-02    0.66981E+01
    0.31817E-02    0.68131E+01
    0.32460E-02    0.69295E+01
    0.33115E-02    0.70473E+01
    0.33784E-02    0.71665E+01
    0.34467E-02    0.72871E+01
    0.35163E-02    0.74090E+01
    0.35874E-02    0.75323E+01
    0.36598E-02    0.76569E+01
    0.37338E-02    0.77828E+01
    0.38092E-02    0.79100E+01
    0.38861E-02    0.80385E+01
    0.39646E-02    0.81681E+01
    0.40447E-02    0.82990E+01
    0.41264E-02    0.84311E+01
    0.42098E-02    0.85642E+01
    0.42948E-02    0.86985E+01
    0.43816E-02    0.88339E+01
    0.44701E-02    0.89702E+01
    0.45604E-02    0.91076E+01
    0.46525E-02    0.92459E+01
    0.47465E-02    0.93851E+01
    0.48424E-02    0.95251E+01
    0.49402E-02    0.96659E+01
    0.50400E-02    0.98075E+01
    0.51419E-02    0.99498E+01
    0.52457E-02    0.10093E+02
    0.53517E-02    0.10236E+02
    0.54598E-02    0.10380E+02
    0.55701E-02    0.10525E+02
    0.56826E-02    0.10669E+02
    0.57974E-02    0.10814E+02
    0.59145E-02    0.10960E+02
    0.60340E-02    0.11105E+02
    0.61559E-02    0.11251E+02
    0.62803E-02    0.11397E+02
    0.64072E-02    0.11542E+02
    0.65366E-02    0.11688E+02
    0.66686E-02    0.11833E+02
    0.68033E-02    0.11978E+02
    0.69408E-02    0.12122E+02
    0.70810E-02    0.12266E+02
    0.72240E-02    0.12409E+02
    0.73700E-02    0.12552E+02
    0.75189E-02    0.12694E+02
