#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.745733E+07   0.745733E+07   0.994136E+07   0.994129E+07   0.745750E+07   0.745734E+07   0.745733E+07   0.746571E+07  -0.594038E+00   0.722903E+07   0.722903E+07   0.111958E+02
   0.116112E-04   0.745733E+07   0.745733E+07   0.994098E+07   0.994089E+07   0.745750E+07   0.745734E+07   0.745733E+07   0.746571E+07  -0.594037E+00   0.722903E+07   0.722903E+07   0.123612E+02
   0.128200E-04   0.745733E+07   0.745733E+07   0.994051E+07   0.994041E+07   0.745750E+07   0.745733E+07   0.745733E+07   0.746571E+07  -0.594037E+00   0.722903E+07   0.722903E+07   0.136479E+02
   0.141547E-04   0.745732E+07   0.745732E+07   0.993994E+07   0.993981E+07   0.745750E+07   0.745733E+07   0.745732E+07   0.746570E+07  -0.594037E+00   0.722903E+07   0.722903E+07   0.150684E+02
   0.156284E-04   0.745732E+07   0.745732E+07   0.993924E+07   0.993909E+07   0.745749E+07   0.745733E+07   0.745732E+07   0.746570E+07  -0.594037E+00   0.722902E+07   0.722902E+07   0.166367E+02
   0.172555E-04   0.745732E+07   0.745732E+07   0.993840E+07   0.993821E+07   0.745749E+07   0.745733E+07   0.745732E+07   0.746570E+07  -0.594036E+00   0.722902E+07   0.722902E+07   0.183682E+02
   0.190520E-04   0.745731E+07   0.745731E+07   0.993736E+07   0.993713E+07   0.745749E+07   0.745732E+07   0.745731E+07   0.746569E+07  -0.594036E+00   0.722902E+07   0.722902E+07   0.202796E+02
   0.210355E-04   0.745731E+07   0.745731E+07   0.993610E+07   0.993582E+07   0.745748E+07   0.745732E+07   0.745731E+07   0.746568E+07  -0.594035E+00   0.722901E+07   0.722901E+07   0.223898E+02
   0.232256E-04   0.745730E+07   0.745730E+07   0.993456E+07   0.993422E+07   0.745747E+07   0.745731E+07   0.745730E+07   0.746568E+07  -0.594035E+00   0.722901E+07   0.722900E+07   0.247193E+02
   0.256436E-04   0.745729E+07   0.745729E+07   0.993269E+07   0.993227E+07   0.745746E+07   0.745730E+07   0.745729E+07   0.746567E+07  -0.594034E+00   0.722900E+07   0.722900E+07   0.272908E+02
   0.283134E-04   0.745728E+07   0.745728E+07   0.993041E+07   0.992990E+07   0.745745E+07   0.745729E+07   0.745728E+07   0.746566E+07  -0.594033E+00   0.722899E+07   0.722899E+07   0.301292E+02
   0.312612E-04   0.745727E+07   0.745727E+07   0.992762E+07   0.992701E+07   0.745744E+07   0.745728E+07   0.745727E+07   0.746564E+07  -0.594032E+00   0.722898E+07   0.722897E+07   0.332622E+02
   0.345158E-04   0.745726E+07   0.745726E+07   0.992424E+07   0.992348E+07   0.745743E+07   0.745727E+07   0.745726E+07   0.746562E+07  -0.594030E+00   0.722896E+07   0.722896E+07   0.367201E+02
   0.381093E-04   0.745724E+07   0.745724E+07   0.992010E+07   0.991918E+07   0.745741E+07   0.745725E+07   0.745724E+07   0.746560E+07  -0.594029E+00   0.722895E+07   0.722894E+07   0.405361E+02
   0.420769E-04   0.745722E+07   0.745722E+07   0.991507E+07   0.991395E+07   0.745739E+07   0.745723E+07   0.745722E+07   0.746558E+07  -0.594026E+00   0.722893E+07   0.722892E+07   0.447471E+02
   0.464576E-04   0.745720E+07   0.745719E+07   0.990893E+07   0.990757E+07   0.745736E+07   0.745720E+07   0.745719E+07   0.746555E+07  -0.594024E+00   0.722890E+07   0.722890E+07   0.493933E+02
   0.512944E-04   0.745716E+07   0.745716E+07   0.990146E+07   0.989980E+07   0.745732E+07   0.745717E+07   0.745716E+07   0.746551E+07  -0.594021E+00   0.722887E+07   0.722886E+07   0.545189E+02
   0.566347E-04   0.745712E+07   0.745712E+07   0.989236E+07   0.989033E+07   0.745728E+07   0.745713E+07   0.745712E+07   0.746546E+07  -0.594017E+00   0.722884E+07   0.722883E+07   0.601724E+02
   0.625311E-04   0.745708E+07   0.745707E+07   0.988127E+07   0.987880E+07   0.745724E+07   0.745708E+07   0.745708E+07   0.746540E+07  -0.594012E+00   0.722879E+07   0.722878E+07   0.664066E+02
   0.690413E-04   0.745702E+07   0.745701E+07   0.986777E+07   0.986477E+07   0.745717E+07   0.745703E+07   0.745702E+07   0.746534E+07  -0.594006E+00   0.722874E+07   0.722872E+07   0.732794E+02
   0.762293E-04   0.745695E+07   0.745694E+07   0.985134E+07   0.984768E+07   0.745710E+07   0.745696E+07   0.745695E+07   0.746525E+07  -0.593999E+00   0.722867E+07   0.722865E+07   0.808536E+02
   0.841656E-04   0.745687E+07   0.745685E+07   0.983134E+07   0.982689E+07   0.745701E+07   0.745687E+07   0.745686E+07   0.746515E+07  -0.593991E+00   0.722859E+07   0.722857E+07   0.891973E+02
   0.929282E-04   0.745677E+07   0.745674E+07   0.980702E+07   0.980160E+07   0.745690E+07   0.745677E+07   0.745676E+07   0.746503E+07  -0.593980E+00   0.722849E+07   0.722846E+07   0.983843E+02
   0.102603E-03   0.745664E+07   0.745661E+07   0.977745E+07   0.977086E+07   0.745677E+07   0.745664E+07   0.745664E+07   0.746487E+07  -0.593968E+00   0.722837E+07   0.722834E+07   0.108493E+03
   0.113285E-03   0.745649E+07   0.745646E+07   0.974151E+07   0.973350E+07   0.745661E+07   0.745649E+07   0.745648E+07   0.746469E+07  -0.593952E+00   0.722822E+07   0.722818E+07   0.119609E+03
   0.125080E-03   0.745630E+07   0.745626E+07   0.969788E+07   0.968814E+07   0.745641E+07   0.745630E+07   0.745630E+07   0.746447E+07  -0.593934E+00   0.722804E+07   0.722800E+07   0.131820E+03
   0.138102E-03   0.745608E+07   0.745603E+07   0.964493E+07   0.963311E+07   0.745617E+07   0.745607E+07   0.745607E+07   0.746419E+07  -0.593911E+00   0.722783E+07   0.722777E+07   0.145220E+03
   0.152480E-03   0.745580E+07   0.745574E+07   0.958077E+07   0.956643E+07   0.745587E+07   0.745579E+07   0.745579E+07   0.746386E+07  -0.593883E+00   0.722756E+07   0.722749E+07   0.159904E+03
   0.168355E-03   0.745546E+07   0.745539E+07   0.950310E+07   0.948573E+07   0.745551E+07   0.745546E+07   0.745545E+07   0.746346E+07  -0.593849E+00   0.722724E+07   0.722715E+07   0.175968E+03
   0.185882E-03   0.745506E+07   0.745497E+07   0.940925E+07   0.938823E+07   0.745508E+07   0.745504E+07   0.745504E+07   0.746296E+07  -0.593808E+00   0.722684E+07   0.722674E+07   0.193506E+03
   0.205235E-03   0.745456E+07   0.745445E+07   0.929604E+07   0.927064E+07   0.745455E+07   0.745454E+07   0.745454E+07   0.746236E+07  -0.593758E+00   0.722636E+07   0.722624E+07   0.212605E+03
   0.226602E-03   0.745395E+07   0.745382E+07   0.915980E+07   0.912918E+07   0.745390E+07   0.745393E+07   0.745393E+07   0.746164E+07  -0.593697E+00   0.722578E+07   0.722563E+07   0.233339E+03
   0.250194E-03   0.745322E+07   0.745306E+07   0.899633E+07   0.895950E+07   0.745312E+07   0.745319E+07   0.745319E+07   0.746076E+07  -0.593624E+00   0.722507E+07   0.722489E+07   0.255762E+03
   0.276242E-03   0.745232E+07   0.745213E+07   0.880086E+07   0.875670E+07   0.745216E+07   0.745229E+07   0.745229E+07   0.745969E+07  -0.593534E+00   0.722421E+07   0.722399E+07   0.279896E+03
   0.305002E-03   0.745124E+07   0.745101E+07   0.856814E+07   0.851537E+07   0.745100E+07   0.745119E+07   0.745120E+07   0.745839E+07  -0.593426E+00   0.722316E+07   0.722290E+07   0.305719E+03
   0.336756E-03   0.744992E+07   0.744964E+07   0.829252E+07   0.822973E+07   0.744960E+07   0.744986E+07   0.744988E+07   0.745683E+07  -0.593295E+00   0.722189E+07   0.722157E+07   0.333144E+03
   0.371817E-03   0.744832E+07   0.744799E+07   0.796819E+07   0.789390E+07   0.744789E+07   0.744825E+07   0.744827E+07   0.745494E+07  -0.593137E+00   0.722034E+07   0.721996E+07   0.362004E+03
   0.410527E-03   0.744638E+07   0.744598E+07   0.758958E+07   0.750225E+07   0.744582E+07   0.744630E+07   0.744632E+07   0.745267E+07  -0.592947E+00   0.721847E+07   0.721801E+07   0.392016E+03
   0.453268E-03   0.744404E+07   0.744356E+07   0.715191E+07   0.705007E+07   0.744332E+07   0.744394E+07   0.744396E+07   0.744993E+07  -0.592718E+00   0.721620E+07   0.721566E+07   0.422757E+03
   0.500458E-03   0.744121E+07   0.744064E+07   0.665207E+07   0.653446E+07   0.744029E+07   0.744108E+07   0.744112E+07   0.744665E+07  -0.592443E+00   0.721346E+07   0.721282E+07   0.453632E+03
   0.552561E-03   0.743780E+07   0.743712E+07   0.608974E+07   0.595555E+07   0.743664E+07   0.743765E+07   0.743769E+07   0.744274E+07  -0.592115E+00   0.721015E+07   0.720939E+07   0.483834E+03
   0.610090E-03   0.743370E+07   0.743289E+07   0.546882E+07   0.531793E+07   0.743225E+07   0.743351E+07   0.743357E+07   0.743808E+07  -0.591724E+00   0.720616E+07   0.720528E+07   0.512327E+03
   0.673607E-03   0.742878E+07   0.742783E+07   0.479905E+07   0.463241E+07   0.742698E+07   0.742855E+07   0.742863E+07   0.743255E+07  -0.591261E+00   0.720137E+07   0.720034E+07   0.537828E+03
