#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12644E+04    0.15300E+01    0.21004E-04    0.15300E+01    0.73016E-01   -0.51202E-08    0.21004E-04   -0.51202E-08    0.72172E-10
    44    0.12827E+04    0.14317E+01    0.20074E-04    0.14317E+01    0.78802E-01   -0.25037E-08    0.20074E-04   -0.25037E-08    0.68689E-10
    45    0.13013E+04    0.13194E+01    0.19202E-04    0.13194E+01    0.84860E-01   -0.18063E-08    0.19202E-04   -0.18063E-08    0.65428E-10
    46    0.13203E+04    0.11898E+01    0.18387E-04    0.11898E+01    0.91190E-01   -0.34711E-08    0.18387E-04   -0.34711E-08    0.62367E-10
    47    0.13394E+04    0.10445E+01    0.17623E-04    0.10445E+01    0.97790E-01   -0.68474E-08    0.17623E-04   -0.68474E-08    0.59494E-10
    48    0.13585E+04    0.88911E+00    0.16904E-04    0.88911E+00    0.10466E+00   -0.11011E-07    0.16904E-04   -0.11011E-07    0.56795E-10
    49    0.13779E+04    0.72831E+00    0.16224E-04    0.72831E+00    0.11179E+00   -0.15038E-07    0.16224E-04   -0.15038E-07    0.54256E-10
    50    0.13976E+04    0.56023E+00    0.15577E-04    0.56023E+00    0.11915E+00   -0.18004E-07    0.15577E-04   -0.18004E-07    0.51867E-10
    51    0.14175E+04    0.38116E+00    0.14958E-04    0.38116E+00    0.12671E+00   -0.19226E-07    0.14958E-04   -0.19226E-07    0.49614E-10
    52    0.14379E+04    0.18586E+00    0.14368E-04    0.18586E+00    0.13456E+00   -0.18986E-07    0.14368E-04   -0.18986E-07    0.47488E-10
    53    0.14582E+04   -0.29426E-01    0.13808E-04   -0.29426E-01    0.14285E+00   -0.17806E-07    0.13808E-04   -0.17806E-07    0.45482E-10
    54    0.14785E+04   -0.26048E+00    0.13280E-04   -0.26048E+00    0.15157E+00   -0.16210E-07    0.13280E-04   -0.16210E-07    0.43586E-10
    55    0.14990E+04   -0.50299E+00    0.12785E-04   -0.50299E+00    0.16070E+00   -0.14719E-07    0.12785E-04   -0.14719E-07    0.41793E-10
    56    0.15199E+04   -0.75869E+00    0.12324E-04   -0.75869E+00    0.17009E+00   -0.13735E-07    0.12324E-04   -0.13735E-07    0.40095E-10
    57    0.15410E+04   -0.10272E+01    0.11894E-04   -0.10272E+01    0.17965E+00   -0.13163E-07    0.11894E-04   -0.13163E-07    0.38487E-10
    58    0.15625E+04   -0.13090E+01    0.11490E-04   -0.13090E+01    0.18937E+00   -0.12791E-07    0.11490E-04   -0.12791E-07    0.36962E-10
    59    0.15841E+04   -0.16045E+01    0.11108E-04   -0.16045E+01    0.19931E+00   -0.12401E-07    0.11108E-04   -0.12401E-07    0.35515E-10
    60    0.16059E+04   -0.19126E+01    0.10742E-04   -0.19126E+01    0.20949E+00   -0.11779E-07    0.10742E-04   -0.11779E-07    0.34141E-10
    61    0.16282E+04   -0.22323E+01    0.10389E-04   -0.22323E+01    0.22004E+00   -0.10782E-07    0.10389E-04   -0.10782E-07    0.32835E-10
    62    0.16504E+04   -0.25647E+01    0.10049E-04   -0.25647E+01    0.23091E+00   -0.95576E-08    0.10049E-04   -0.95576E-08    0.31593E-10
    63    0.16728E+04   -0.29113E+01    0.97205E-05   -0.29113E+01    0.24208E+00   -0.83247E-08    0.97205E-05   -0.83247E-08    0.30412E-10
    64    0.16955E+04   -0.32736E+01    0.94042E-05   -0.32736E+01    0.25356E+00   -0.73026E-08    0.94042E-05   -0.73026E-08    0.29287E-10
    65    0.17183E+04   -0.36526E+01    0.90997E-05   -0.36526E+01    0.26531E+00   -0.67109E-08    0.90997E-05   -0.67109E-08    0.28217E-10
    66    0.17415E+04   -0.40468E+01    0.88071E-05   -0.40468E+01    0.27726E+00   -0.67075E-08    0.88071E-05   -0.67075E-08    0.27196E-10
    67    0.17648E+04   -0.44531E+01    0.85267E-05   -0.44531E+01    0.28942E+00   -0.72040E-08    0.85267E-05   -0.72040E-08    0.26223E-10
    68    0.17886E+04   -0.48695E+01    0.82590E-05   -0.48695E+01    0.30184E+00   -0.80507E-08    0.82590E-05   -0.80507E-08    0.25294E-10
    69    0.18126E+04   -0.52940E+01    0.80043E-05   -0.52940E+01    0.31446E+00   -0.90977E-08    0.80043E-05   -0.90977E-08    0.24408E-10
    70    0.18369E+04   -0.57279E+01    0.77630E-05   -0.57279E+01    0.32734E+00   -0.10195E-07    0.77630E-05   -0.10195E-07    0.23562E-10
    71    0.18614E+04   -0.61734E+01    0.75352E-05   -0.61734E+01    0.34047E+00   -0.11203E-07    0.75352E-05   -0.11203E-07    0.22754E-10
    72    0.18861E+04   -0.66318E+01    0.73197E-05   -0.66318E+01    0.35382E+00   -0.12013E-07    0.73197E-05   -0.12013E-07    0.21981E-10
    73    0.19110E+04   -0.71039E+01    0.71151E-05   -0.71039E+01    0.36734E+00   -0.12529E-07    0.71151E-05   -0.12529E-07    0.21241E-10
    74    0.19361E+04   -0.75890E+01    0.69199E-05   -0.75890E+01    0.38104E+00   -0.12652E-07    0.69199E-05   -0.12652E-07    0.20534E-10
    75    0.19615E+04   -0.80856E+01    0.67326E-05   -0.80856E+01    0.39491E+00   -0.12285E-07    0.67326E-05   -0.12285E-07    0.19856E-10
    76    0.19872E+04   -0.85933E+01    0.65519E-05   -0.85933E+01    0.40895E+00   -0.11386E-07    0.65519E-05   -0.11386E-07    0.19207E-10
    77    0.20133E+04   -0.91120E+01    0.63772E-05   -0.91120E+01    0.42317E+00   -0.10131E-07    0.63772E-05   -0.10131E-07    0.18584E-10
    78    0.20398E+04   -0.96429E+01    0.62082E-05   -0.96429E+01    0.43757E+00   -0.87550E-08    0.62082E-05   -0.87550E-08    0.17988E-10
    79    0.20665E+04   -0.10182E+02    0.60444E-05   -0.10182E+02    0.45211E+00   -0.74894E-08    0.60444E-05   -0.74894E-08    0.17415E-10
    80    0.20934E+04   -0.10732E+02    0.58854E-05   -0.10732E+02    0.46679E+00   -0.65675E-08    0.58854E-05   -0.65675E-08    0.16866E-10
    81    0.21206E+04   -0.11292E+02    0.57310E-05   -0.11292E+02    0.48155E+00   -0.61656E-08    0.57310E-05   -0.61656E-08    0.16338E-10
    82    0.21481E+04   -0.11861E+02    0.55813E-05   -0.11861E+02    0.49642E+00   -0.62333E-08    0.55813E-05   -0.62333E-08    0.15832E-10
    83    0.21757E+04   -0.12439E+02    0.54365E-05   -0.12439E+02    0.51137E+00   -0.66635E-08    0.54365E-05   -0.66635E-08    0.15345E-10
    84    0.22037E+04   -0.13024E+02    0.52969E-05   -0.13024E+02    0.52639E+00   -0.73491E-08    0.52969E-05   -0.73491E-08    0.14878E-10
    85    0.22318E+04   -0.13616E+02    0.51627E-05   -0.13616E+02    0.54148E+00   -0.81831E-08    0.51627E-05   -0.81831E-08    0.14429E-10
    86    0.22601E+04   -0.14216E+02    0.50340E-05   -0.14216E+02    0.55662E+00   -0.90694E-08    0.50340E-05   -0.90694E-08    0.13997E-10
    87    0.22889E+04   -0.14821E+02    0.49105E-05   -0.14821E+02    0.57181E+00   -0.99552E-08    0.49105E-05   -0.99552E-08    0.13581E-10
    88    0.23177E+04   -0.15432E+02    0.47919E-05   -0.15432E+02    0.58704E+00   -0.10799E-07    0.47919E-05   -0.10799E-07    0.13181E-10
    89    0.23469E+04   -0.16051E+02    0.46777E-05   -0.16051E+02    0.60230E+00   -0.11559E-07    0.46777E-05   -0.11559E-07    0.12796E-10
    90    0.23763E+04   -0.16675E+02    0.45675E-05   -0.16675E+02    0.61756E+00   -0.12194E-07    0.45675E-05   -0.12194E-07    0.12425E-10
    91    0.24058E+04   -0.17304E+02    0.44609E-05   -0.17304E+02    0.63281E+00   -0.12670E-07    0.44609E-05   -0.12670E-07    0.12067E-10
    92    0.24357E+04   -0.17939E+02    0.43578E-05   -0.17939E+02    0.64803E+00   -0.12991E-07    0.43578E-05   -0.12991E-07    0.11721E-10
    93    0.24659E+04   -0.18578E+02    0.42580E-05   -0.18578E+02    0.66321E+00   -0.13169E-07    0.42580E-05   -0.13169E-07    0.11387E-10
    94    0.24961E+04   -0.19220E+02    0.41616E-05   -0.19220E+02    0.67832E+00   -0.13217E-07    0.41616E-05   -0.13217E-07    0.11065E-10
    95    0.25267E+04   -0.19867E+02    0.40683E-05   -0.19867E+02    0.69335E+00   -0.13145E-07    0.40683E-05   -0.13145E-07    0.10755E-10
    96    0.25572E+04   -0.20517E+02    0.39780E-05   -0.20517E+02    0.70830E+00   -0.12967E-07    0.39780E-05   -0.12967E-07    0.10456E-10
    97    0.25883E+04   -0.21170E+02    0.38907E-05   -0.21170E+02    0.72314E+00   -0.12694E-07    0.38907E-05   -0.12694E-07    0.10167E-10
    98    0.26195E+04   -0.21823E+02    0.38062E-05   -0.21823E+02    0.73788E+00   -0.12339E-07    0.38062E-05   -0.12339E-07    0.98890E-11
    99    0.26509E+04   -0.22479E+02    0.37245E-05   -0.22479E+02    0.75246E+00   -0.11912E-07    0.37245E-05   -0.11912E-07    0.96207E-11
   100    0.26826E+04   -0.23134E+02    0.36453E-05   -0.23134E+02    0.76690E+00   -0.11428E-07    0.36453E-05   -0.11428E-07    0.93619E-11
   101    0.27144E+04   -0.23792E+02    0.35687E-05   -0.23792E+02    0.78125E+00   -0.10897E-07    0.35687E-05   -0.10897E-07    0.91123E-11
   102    0.27468E+04   -0.24449E+02    0.34945E-05   -0.24449E+02    0.79536E+00   -0.10332E-07    0.34945E-05   -0.10332E-07    0.88715E-11
   103    0.27791E+04   -0.25106E+02    0.34226E-05   -0.25106E+02    0.80931E+00   -0.97451E-08    0.34226E-05   -0.97451E-08    0.86391E-11
   104    0.28116E+04   -0.25761E+02    0.33530E-05   -0.25761E+02    0.82310E+00   -0.91478E-08    0.33530E-05   -0.91478E-08    0.84147E-11
   105    0.28443E+04   -0.26414E+02    0.32854E-05   -0.26414E+02    0.83665E+00   -0.85525E-08    0.32854E-05   -0.85525E-08    0.81981E-11
   106    0.28772E+04   -0.27066E+02    0.32197E-05   -0.27066E+02    0.85004E+00   -0.79714E-08    0.32197E-05   -0.79714E-08    0.79887E-11
   107    0.29101E+04   -0.27715E+02    0.31560E-05   -0.27715E+02    0.86311E+00   -0.74164E-08    0.31560E-05   -0.74164E-08    0.77862E-11
   108    0.29434E+04   -0.28361E+02    0.30940E-05   -0.28361E+02    0.87595E+00   -0.68996E-08    0.30940E-05   -0.68996E-08    0.75903E-11
   109    0.29768E+04   -0.29003E+02    0.30337E-05   -0.29003E+02    0.88848E+00   -0.64332E-08    0.30337E-05   -0.64332E-08    0.74005E-11
   110    0.30104E+04   -0.29640E+02    0.29750E-05   -0.29640E+02    0.90069E+00   -0.60292E-08    0.29750E-05   -0.60292E-08    0.72164E-11
   111    0.30440E+04   -0.30272E+02    0.29177E-05   -0.30272E+02    0.91267E+00   -0.56969E-08    0.29177E-05   -0.56969E-08    0.70379E-11
   112    0.30779E+04   -0.30900E+02    0.28618E-05   -0.30900E+02    0.92434E+00   -0.54338E-08    0.28618E-05   -0.54338E-08    0.68646E-11
   113    0.31120E+04   -0.31521E+02    0.28073E-05   -0.31521E+02    0.93569E+00   -0.52348E-08    0.28073E-05   -0.52348E-08    0.66964E-11
