#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14785E+04    0.15157E+00    0.00000E+00   -0.26048E+00    0.12945E-06    0.72366E-03   -0.87427E-06
    55    0.14990E+04    0.16070E+00    0.00000E+00   -0.50299E+00    0.12872E-06    0.70954E-03   -0.81690E-06
    56    0.15199E+04    0.17009E+00    0.00000E+00   -0.75869E+00    0.12799E-06    0.69636E-03   -0.78297E-06
    57    0.15410E+04    0.17965E+00    0.00000E+00   -0.10272E+01    0.12724E-06    0.68399E-03   -0.76699E-06
    58    0.15625E+04    0.18937E+00    0.00000E+00   -0.13090E+01    0.12649E-06    0.67225E-03   -0.75754E-06
    59    0.15841E+04    0.19931E+00    0.00000E+00   -0.16045E+01    0.12572E-06    0.66094E-03   -0.74321E-06
    60    0.16059E+04    0.20949E+00    0.00000E+00   -0.19126E+01    0.12496E-06    0.64987E-03   -0.71260E-06
    61    0.16282E+04    0.22004E+00    0.00000E+00   -0.22323E+01    0.12418E-06    0.63890E-03   -0.65851E-06
    62    0.16504E+04    0.23091E+00    0.00000E+00   -0.25647E+01    0.12340E-06    0.62801E-03   -0.59049E-06
    63    0.16728E+04    0.24208E+00    0.00000E+00   -0.29113E+01    0.12262E-06    0.61721E-03   -0.52221E-06
    64    0.16955E+04    0.25356E+00    0.00000E+00   -0.32736E+01    0.12184E-06    0.60654E-03   -0.46735E-06
    65    0.17183E+04    0.26531E+00    0.00000E+00   -0.36526E+01    0.12105E-06    0.59601E-03   -0.43955E-06
    66    0.17415E+04    0.27726E+00    0.00000E+00   -0.40468E+01    0.12026E-06    0.58566E-03   -0.44874E-06
    67    0.17648E+04    0.28942E+00    0.00000E+00   -0.44531E+01    0.11947E-06    0.57554E-03   -0.48993E-06
    68    0.17886E+04    0.30184E+00    0.00000E+00   -0.48695E+01    0.11868E-06    0.56572E-03   -0.55444E-06
    69    0.18126E+04    0.31446E+00    0.00000E+00   -0.52940E+01    0.11789E-06    0.55628E-03   -0.63361E-06
    70    0.18369E+04    0.32734E+00    0.00000E+00   -0.57279E+01    0.11710E-06    0.54728E-03   -0.71876E-06
    71    0.18614E+04    0.34047E+00    0.00000E+00   -0.61734E+01    0.11632E-06    0.53876E-03   -0.80122E-06
    72    0.18861E+04    0.35382E+00    0.00000E+00   -0.66318E+01    0.11553E-06    0.53069E-03   -0.87217E-06
