#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.870362E+07   0.870362E+07   0.116024E+08   0.116023E+08   0.870378E+07   0.870362E+07   0.870362E+07   0.871195E+07  -0.590356E+00   0.828504E+07   0.828504E+07   0.107600E+02
   0.116112E-04   0.870362E+07   0.870362E+07   0.116019E+08   0.116018E+08   0.870378E+07   0.870362E+07   0.870362E+07   0.871194E+07  -0.590356E+00   0.828504E+07   0.828504E+07   0.118800E+02
   0.128200E-04   0.870361E+07   0.870361E+07   0.116013E+08   0.116011E+08   0.870378E+07   0.870362E+07   0.870361E+07   0.871194E+07  -0.590356E+00   0.828504E+07   0.828504E+07   0.131166E+02
   0.141547E-04   0.870361E+07   0.870361E+07   0.116005E+08   0.116003E+08   0.870378E+07   0.870362E+07   0.870361E+07   0.871194E+07  -0.590355E+00   0.828503E+07   0.828503E+07   0.144818E+02
   0.156284E-04   0.870361E+07   0.870360E+07   0.115995E+08   0.115993E+08   0.870377E+07   0.870361E+07   0.870361E+07   0.871193E+07  -0.590355E+00   0.828503E+07   0.828503E+07   0.159891E+02
   0.172555E-04   0.870360E+07   0.870360E+07   0.115984E+08   0.115981E+08   0.870377E+07   0.870361E+07   0.870360E+07   0.871193E+07  -0.590355E+00   0.828502E+07   0.828502E+07   0.176530E+02
   0.190520E-04   0.870360E+07   0.870360E+07   0.115970E+08   0.115966E+08   0.870376E+07   0.870360E+07   0.870360E+07   0.871192E+07  -0.590354E+00   0.828502E+07   0.828502E+07   0.194900E+02
   0.210355E-04   0.870359E+07   0.870359E+07   0.115952E+08   0.115949E+08   0.870376E+07   0.870360E+07   0.870359E+07   0.871192E+07  -0.590354E+00   0.828501E+07   0.828501E+07   0.215179E+02
   0.232256E-04   0.870358E+07   0.870358E+07   0.115931E+08   0.115927E+08   0.870375E+07   0.870359E+07   0.870358E+07   0.871191E+07  -0.590353E+00   0.828501E+07   0.828500E+07   0.237565E+02
   0.256436E-04   0.870357E+07   0.870357E+07   0.115906E+08   0.115900E+08   0.870374E+07   0.870358E+07   0.870357E+07   0.871190E+07  -0.590352E+00   0.828500E+07   0.828500E+07   0.262276E+02
   0.283134E-04   0.870356E+07   0.870356E+07   0.115874E+08   0.115868E+08   0.870373E+07   0.870357E+07   0.870356E+07   0.871188E+07  -0.590351E+00   0.828499E+07   0.828498E+07   0.289552E+02
   0.312612E-04   0.870355E+07   0.870354E+07   0.115836E+08   0.115828E+08   0.870371E+07   0.870355E+07   0.870355E+07   0.871186E+07  -0.590350E+00   0.828497E+07   0.828497E+07   0.319657E+02
   0.345158E-04   0.870353E+07   0.870353E+07   0.115790E+08   0.115780E+08   0.870369E+07   0.870354E+07   0.870353E+07   0.871184E+07  -0.590349E+00   0.828496E+07   0.828495E+07   0.352883E+02
   0.381093E-04   0.870351E+07   0.870350E+07   0.115733E+08   0.115721E+08   0.870367E+07   0.870352E+07   0.870351E+07   0.871182E+07  -0.590347E+00   0.828494E+07   0.828493E+07   0.389548E+02
   0.420769E-04   0.870348E+07   0.870348E+07   0.115665E+08   0.115649E+08   0.870364E+07   0.870349E+07   0.870348E+07   0.871179E+07  -0.590345E+00   0.828491E+07   0.828491E+07   0.430006E+02
   0.464576E-04   0.870345E+07   0.870345E+07   0.115581E+08   0.115562E+08   0.870361E+07   0.870346E+07   0.870345E+07   0.871175E+07  -0.590342E+00   0.828488E+07   0.828488E+07   0.474643E+02
   0.512944E-04   0.870342E+07   0.870341E+07   0.115479E+08   0.115456E+08   0.870357E+07   0.870342E+07   0.870341E+07   0.871170E+07  -0.590339E+00   0.828485E+07   0.828484E+07   0.523880E+02
   0.566347E-04   0.870337E+07   0.870336E+07   0.115354E+08   0.115327E+08   0.870352E+07   0.870337E+07   0.870337E+07   0.871165E+07  -0.590335E+00   0.828480E+07   0.828479E+07   0.578182E+02
   0.625311E-04   0.870331E+07   0.870330E+07   0.115203E+08   0.115169E+08   0.870346E+07   0.870332E+07   0.870331E+07   0.871158E+07  -0.590330E+00   0.828475E+07   0.828474E+07   0.638055E+02
   0.690413E-04   0.870324E+07   0.870323E+07   0.115018E+08   0.114977E+08   0.870339E+07   0.870325E+07   0.870324E+07   0.871150E+07  -0.590324E+00   0.828469E+07   0.828467E+07   0.704049E+02
   0.762293E-04   0.870316E+07   0.870314E+07   0.114794E+08   0.114744E+08   0.870330E+07   0.870316E+07   0.870316E+07   0.871140E+07  -0.590317E+00   0.828461E+07   0.828459E+07   0.776765E+02
   0.841656E-04   0.870306E+07   0.870304E+07   0.114520E+08   0.114460E+08   0.870319E+07   0.870306E+07   0.870305E+07   0.871127E+07  -0.590308E+00   0.828451E+07   0.828449E+07   0.856850E+02
   0.929282E-04   0.870293E+07   0.870291E+07   0.114188E+08   0.114115E+08   0.870306E+07   0.870293E+07   0.870293E+07   0.871112E+07  -0.590298E+00   0.828439E+07   0.828437E+07   0.945003E+02
   0.102603E-03   0.870278E+07   0.870275E+07   0.113785E+08   0.113695E+08   0.870290E+07   0.870278E+07   0.870278E+07   0.871094E+07  -0.590285E+00   0.828425E+07   0.828422E+07   0.104197E+03
   0.113285E-03   0.870260E+07   0.870256E+07   0.113294E+08   0.113186E+08   0.870271E+07   0.870260E+07   0.870259E+07   0.871072E+07  -0.590269E+00   0.828407E+07   0.828404E+07   0.114855E+03
   0.125080E-03   0.870237E+07   0.870232E+07   0.112699E+08   0.112568E+08   0.870247E+07   0.870237E+07   0.870236E+07   0.871045E+07  -0.590250E+00   0.828386E+07   0.828381E+07   0.126556E+03
   0.138102E-03   0.870210E+07   0.870204E+07   0.111978E+08   0.111818E+08   0.870218E+07   0.870209E+07   0.870209E+07   0.871012E+07  -0.590226E+00   0.828360E+07   0.828354E+07   0.139389E+03
   0.152480E-03   0.870176E+07   0.870169E+07   0.111105E+08   0.110911E+08   0.870183E+07   0.870176E+07   0.870175E+07   0.870972E+07  -0.590198E+00   0.828329E+07   0.828322E+07   0.153440E+03
   0.168355E-03   0.870136E+07   0.870127E+07   0.110050E+08   0.109815E+08   0.870140E+07   0.870135E+07   0.870134E+07   0.870924E+07  -0.590163E+00   0.828290E+07   0.828282E+07   0.168797E+03
   0.185882E-03   0.870086E+07   0.870076E+07   0.108776E+08   0.108492E+08   0.870088E+07   0.870085E+07   0.870085E+07   0.870864E+07  -0.590121E+00   0.828243E+07   0.828233E+07   0.185543E+03
   0.205235E-03   0.870026E+07   0.870013E+07   0.107243E+08   0.106901E+08   0.870024E+07   0.870024E+07   0.870024E+07   0.870793E+07  -0.590070E+00   0.828186E+07   0.828174E+07   0.203753E+03
   0.226602E-03   0.869953E+07   0.869938E+07   0.105401E+08   0.104990E+08   0.869946E+07   0.869950E+07   0.869950E+07   0.870705E+07  -0.590008E+00   0.828117E+07   0.828102E+07   0.223487E+03
   0.250194E-03   0.869864E+07   0.869845E+07   0.103198E+08   0.102704E+08   0.869852E+07   0.869861E+07   0.869861E+07   0.870600E+07  -0.589932E+00   0.828033E+07   0.828014E+07   0.244781E+03
   0.276242E-03   0.869756E+07   0.869733E+07   0.100572E+08   0.999820E+07   0.869738E+07   0.869752E+07   0.869752E+07   0.870472E+07  -0.589841E+00   0.827930E+07   0.827908E+07   0.267637E+03
   0.305002E-03   0.869625E+07   0.869597E+07   0.974591E+07   0.967563E+07   0.869599E+07   0.869619E+07   0.869620E+07   0.870317E+07  -0.589731E+00   0.827806E+07   0.827779E+07   0.292011E+03
   0.336756E-03   0.869465E+07   0.869432E+07   0.937905E+07   0.929582E+07   0.869430E+07   0.869459E+07   0.869460E+07   0.870130E+07  -0.589597E+00   0.827654E+07   0.827622E+07   0.317789E+03
   0.371817E-03   0.869272E+07   0.869233E+07   0.895002E+07   0.885209E+07   0.869226E+07   0.869264E+07   0.869266E+07   0.869904E+07  -0.589437E+00   0.827471E+07   0.827432E+07   0.344773E+03
   0.410527E-03   0.869039E+07   0.868991E+07   0.845301E+07   0.833869E+07   0.868979E+07   0.869029E+07   0.869031E+07   0.869633E+07  -0.589243E+00   0.827249E+07   0.827203E+07   0.372648E+03
   0.453268E-03   0.868757E+07   0.868700E+07   0.788387E+07   0.775168E+07   0.868680E+07   0.868745E+07   0.868748E+07   0.869307E+07  -0.589011E+00   0.826980E+07   0.826926E+07   0.400960E+03
