#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.395291E+07   0.395291E+07   0.527006E+07   0.527005E+07   0.395311E+07   0.395292E+07   0.395291E+07   0.396136E+07  -0.599454E+00   0.393262E+07   0.393262E+07   0.105047E+02
   0.116112E-04   0.395291E+07   0.395291E+07   0.526996E+07   0.526994E+07   0.395311E+07   0.395292E+07   0.395291E+07   0.396135E+07  -0.599453E+00   0.393262E+07   0.393262E+07   0.115982E+02
   0.128200E-04   0.395291E+07   0.395291E+07   0.526982E+07   0.526980E+07   0.395311E+07   0.395292E+07   0.395291E+07   0.396135E+07  -0.599453E+00   0.393262E+07   0.393262E+07   0.128056E+02
   0.141547E-04   0.395291E+07   0.395291E+07   0.526966E+07   0.526964E+07   0.395311E+07   0.395292E+07   0.395291E+07   0.396135E+07  -0.599453E+00   0.393262E+07   0.393261E+07   0.141386E+02
   0.156284E-04   0.395291E+07   0.395291E+07   0.526947E+07   0.526944E+07   0.395311E+07   0.395292E+07   0.395291E+07   0.396135E+07  -0.599453E+00   0.393261E+07   0.393261E+07   0.156102E+02
   0.172555E-04   0.395291E+07   0.395291E+07   0.526923E+07   0.526919E+07   0.395310E+07   0.395291E+07   0.395291E+07   0.396135E+07  -0.599452E+00   0.393261E+07   0.393261E+07   0.172350E+02
   0.190520E-04   0.395290E+07   0.395290E+07   0.526894E+07   0.526889E+07   0.395310E+07   0.395291E+07   0.395290E+07   0.396135E+07  -0.599452E+00   0.393261E+07   0.393261E+07   0.190289E+02
   0.210355E-04   0.395290E+07   0.395290E+07   0.526859E+07   0.526853E+07   0.395310E+07   0.395291E+07   0.395290E+07   0.396134E+07  -0.599452E+00   0.393261E+07   0.393261E+07   0.210093E+02
   0.232256E-04   0.395290E+07   0.395290E+07   0.526816E+07   0.526809E+07   0.395310E+07   0.395291E+07   0.395290E+07   0.396134E+07  -0.599451E+00   0.393261E+07   0.393260E+07   0.231956E+02
   0.256436E-04   0.395290E+07   0.395289E+07   0.526764E+07   0.526755E+07   0.395309E+07   0.395290E+07   0.395290E+07   0.396133E+07  -0.599450E+00   0.393260E+07   0.393260E+07   0.256092E+02
   0.283134E-04   0.395289E+07   0.395289E+07   0.526700E+07   0.526689E+07   0.395309E+07   0.395290E+07   0.395289E+07   0.396133E+07  -0.599449E+00   0.393260E+07   0.393260E+07   0.282736E+02
   0.312612E-04   0.395289E+07   0.395288E+07   0.526622E+07   0.526609E+07   0.395308E+07   0.395289E+07   0.395289E+07   0.396132E+07  -0.599448E+00   0.393259E+07   0.393259E+07   0.312148E+02
   0.345158E-04   0.395288E+07   0.395288E+07   0.526527E+07   0.526511E+07   0.395307E+07   0.395289E+07   0.395288E+07   0.396131E+07  -0.599447E+00   0.393259E+07   0.393258E+07   0.344613E+02
   0.381093E-04   0.395287E+07   0.395287E+07   0.526411E+07   0.526392E+07   0.395307E+07   0.395288E+07   0.395287E+07   0.396130E+07  -0.599446E+00   0.393258E+07   0.393258E+07   0.380447E+02
