#    L    TT             EE             BB             TE          
    91    0.24079E+04    0.63449E+00    0.20612E-02   -0.17300E+02
    92    0.24378E+04    0.64973E+00    0.21071E-02   -0.17933E+02
    93    0.24680E+04    0.66494E+00    0.21536E-02   -0.18572E+02
    94    0.24983E+04    0.68008E+00    0.22006E-02   -0.19213E+02
    95    0.25289E+04    0.69514E+00    0.22482E-02   -0.19859E+02
    96    0.25594E+04    0.71011E+00    0.22963E-02   -0.20508E+02
    97    0.25905E+04    0.72498E+00    0.23451E-02   -0.21160E+02
    98    0.26218E+04    0.73974E+00    0.23943E-02   -0.21811E+02
    99    0.26531E+04    0.75435E+00    0.24442E-02   -0.22467E+02
   100    0.26848E+04    0.76882E+00    0.24946E-02   -0.23121E+02
   101    0.27167E+04    0.78320E+00    0.25456E-02   -0.23777E+02
   102    0.27490E+04    0.79734E+00    0.25972E-02   -0.24433E+02
   103    0.27813E+04    0.81132E+00    0.26494E-02   -0.25089E+02
   104    0.28139E+04    0.82513E+00    0.27022E-02   -0.25742E+02
   105    0.28466E+04    0.83871E+00    0.27555E-02   -0.26395E+02
   106    0.28795E+04    0.85213E+00    0.28095E-02   -0.27045E+02
   107    0.29124E+04    0.86523E+00    0.28641E-02   -0.27692E+02
   108    0.29457E+04    0.87810E+00    0.29192E-02   -0.28337E+02
   109    0.29791E+04    0.89066E+00    0.29750E-02   -0.28977E+02
   110    0.30126E+04    0.90290E+00    0.30314E-02   -0.29612E+02
   111    0.30463E+04    0.91491E+00    0.30884E-02   -0.30243E+02
   112    0.30802E+04    0.92661E+00    0.31460E-02   -0.30869E+02
   113    0.31143E+04    0.93800E+00    0.32042E-02   -0.31488E+02
   114    0.31484E+04    0.94900E+00    0.32631E-02   -0.32101E+02
   115    0.31829E+04    0.95977E+00    0.33226E-02   -0.32706E+02
   116    0.32173E+04    0.97007E+00    0.33827E-02   -0.33303E+02
   117    0.32520E+04    0.98000E+00    0.34435E-02   -0.33891E+02
   118    0.32869E+04    0.98968E+00    0.35049E-02   -0.34472E+02
   119    0.33218E+04    0.99899E+00    0.35670E-02   -0.35041E+02
   120    0.33568E+04    0.10078E+01    0.36297E-02   -0.35601E+02
   121    0.33919E+04    0.10163E+01    0.36931E-02   -0.36150E+02
   122    0.34270E+04    0.10243E+01    0.37572E-02   -0.36688E+02
   123    0.34622E+04    0.10318E+01    0.38219E-02   -0.37214E+02
   124    0.34975E+04    0.10390E+01    0.38873E-02   -0.37727E+02
   125    0.35328E+04    0.10457E+01    0.39534E-02   -0.38227E+02
   126    0.35682E+04    0.10520E+01    0.40201E-02   -0.38714E+02
   127    0.36036E+04    0.10578E+01    0.40876E-02   -0.39188E+02
   128    0.36389E+04    0.10632E+01    0.41558E-02   -0.39647E+02
   129    0.36744E+04    0.10681E+01    0.42246E-02   -0.40091E+02
   130    0.37098E+04    0.10724E+01    0.42942E-02   -0.40520E+02
   131    0.37453E+04    0.10764E+01    0.43645E-02   -0.40933E+02
   132    0.37808E+04    0.10798E+01    0.44355E-02   -0.41329E+02
   133    0.38162E+04    0.10828E+01    0.45073E-02   -0.41710E+02
   134    0.38516E+04    0.10853E+01    0.45797E-02   -0.42071E+02
   135    0.38870E+04    0.10873E+01    0.46530E-02   -0.42415E+02
   136    0.39223E+04    0.10888E+01    0.47270E-02   -0.42739E+02
   137    0.39576E+04    0.10898E+01    0.48017E-02   -0.43045E+02
   138    0.39928E+04    0.10904E+01    0.48772E-02   -0.43331E+02
   139    0.40277E+04    0.10905E+01    0.49535E-02   -0.43596E+02
   140    0.40627E+04    0.10900E+01    0.50305E-02   -0.43842E+02
   141    0.40975E+04    0.10890E+01    0.51084E-02   -0.44066E+02
   142    0.41323E+04    0.10876E+01    0.51870E-02   -0.44269E+02
   143    0.41670E+04    0.10858E+01    0.52665E-02   -0.44451E+02
   144    0.42015E+04    0.10834E+01    0.53467E-02   -0.44611E+02
   145    0.42358E+04    0.10806E+01    0.54278E-02   -0.44749E+02
   146    0.42702E+04    0.10773E+01    0.55097E-02   -0.44864E+02
   147    0.43042E+04    0.10736E+01    0.55924E-02   -0.44955E+02
   148    0.43381E+04    0.10694E+01    0.56759E-02   -0.45024E+02
   149    0.43718E+04    0.10648E+01    0.57603E-02   -0.45068E+02
   150    0.44053E+04    0.10598E+01    0.58455E-02   -0.45087E+02
   151    0.44386E+04    0.10544E+01    0.59316E-02   -0.45082E+02
   152    0.44716E+04    0.10484E+01    0.60186E-02   -0.45052E+02
   153    0.45044E+04    0.10422E+01    0.61064E-02   -0.44996E+02
   154    0.45370E+04    0.10355E+01    0.61950E-02   -0.44915E+02
   155    0.45694E+04    0.10285E+01    0.62846E-02   -0.44808E+02
   156    0.46014E+04    0.10212E+01    0.63750E-02   -0.44676E+02
   157    0.46332E+04    0.10135E+01    0.64663E-02   -0.44517E+02
   158    0.46648E+04    0.10056E+01    0.65584E-02   -0.44332E+02
   159    0.46960E+04    0.99723E+00    0.66515E-02   -0.44121E+02
   160    0.47270E+04    0.98860E+00    0.67454E-02   -0.43882E+02
   161    0.47578E+04    0.97978E+00    0.68403E-02   -0.43616E+02
   162    0.47882E+04    0.97062E+00    0.69360E-02   -0.43325E+02
   163    0.48184E+04    0.96120E+00    0.70326E-02   -0.43005E+02
   164    0.48482E+04    0.95159E+00    0.71301E-02   -0.42660E+02
   165    0.48777E+04    0.94173E+00    0.72285E-02   -0.42286E+02
   166    0.49070E+04    0.93176E+00    0.73278E-02   -0.41885E+02
   167    0.49360E+04    0.92147E+00    0.74280E-02   -0.41458E+02
   168    0.49645E+04    0.91122E+00    0.75291E-02   -0.41002E+02
   169    0.49927E+04    0.90071E+00    0.76311E-02   -0.40518E+02
   170    0.50205E+04    0.89018E+00    0.77339E-02   -0.40007E+02
   171    0.50479E+04    0.87963E+00    0.78377E-02   -0.39466E+02
   172    0.50748E+04    0.86898E+00    0.79423E-02   -0.38898E+02
   173    0.51012E+04    0.85824E+00    0.80478E-02   -0.38302E+02
   174    0.51273E+04    0.84770E+00    0.81541E-02   -0.37678E+02
   175    0.51530E+04    0.83707E+00    0.82614E-02   -0.37026E+02
   176    0.51781E+04    0.82657E+00    0.83695E-02   -0.36345E+02
   177    0.52028E+04    0.81613E+00    0.84785E-02   -0.35638E+02
   178    0.52270E+04    0.80598E+00    0.85883E-02   -0.34902E+02
   179    0.52507E+04    0.79582E+00    0.86989E-02   -0.34137E+02
   180    0.52740E+04    0.78588E+00    0.88105E-02   -0.33346E+02
   181    0.52968E+04    0.77616E+00    0.89228E-02   -0.32527E+02
   182    0.53191E+04    0.76673E+00    0.90360E-02   -0.31681E+02
   183    0.53408E+04    0.75752E+00    0.91500E-02   -0.30808E+02
   184    0.53621E+04    0.74862E+00    0.92648E-02   -0.29907E+02
   185    0.53830E+04    0.74016E+00    0.93804E-02   -0.28982E+02
   186    0.54029E+04    0.73202E+00    0.94968E-02   -0.28028E+02
   187    0.54227E+04    0.72433E+00    0.96140E-02   -0.27047E+02
