#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.480775E+06   0.480775E+06   0.641027E+06   0.641027E+06   0.481321E+06   0.480800E+06   0.480775E+06   0.489062E+06  -0.602454E+00   0.479288E+06   0.479288E+06   0.216382E+00
   0.116112E-04   0.480775E+06   0.480775E+06   0.641026E+06   0.641025E+06   0.481321E+06   0.480800E+06   0.480775E+06   0.489062E+06  -0.602454E+00   0.479288E+06   0.479288E+06   0.238910E+00
   0.128200E-04   0.480775E+06   0.480775E+06   0.641024E+06   0.641023E+06   0.481321E+06   0.480800E+06   0.480775E+06   0.489062E+06  -0.602454E+00   0.479288E+06   0.479288E+06   0.263783E+00
   0.141547E-04   0.480775E+06   0.480775E+06   0.641022E+06   0.641021E+06   0.481320E+06   0.480799E+06   0.480775E+06   0.489062E+06  -0.602454E+00   0.479288E+06   0.479288E+06   0.291246E+00
   0.156284E-04   0.480775E+06   0.480775E+06   0.641019E+06   0.641018E+06   0.481320E+06   0.480799E+06   0.480775E+06   0.489062E+06  -0.602453E+00   0.479288E+06   0.479288E+06   0.321568E+00
   0.172555E-04   0.480775E+06   0.480775E+06   0.641016E+06   0.641015E+06   0.481320E+06   0.480799E+06   0.480775E+06   0.489062E+06  -0.602453E+00   0.479288E+06   0.479288E+06   0.355047E+00
   0.190520E-04   0.480775E+06   0.480775E+06   0.641012E+06   0.641011E+06   0.481320E+06   0.480799E+06   0.480775E+06   0.489062E+06  -0.602453E+00   0.479288E+06   0.479288E+06   0.392011E+00
   0.210355E-04   0.480774E+06   0.480774E+06   0.641008E+06   0.641006E+06   0.481320E+06   0.480799E+06   0.480774E+06   0.489062E+06  -0.602453E+00   0.479288E+06   0.479288E+06   0.432824E+00
   0.232256E-04   0.480774E+06   0.480774E+06   0.641002E+06   0.641000E+06   0.481319E+06   0.480799E+06   0.480774E+06   0.489061E+06  -0.602453E+00   0.479287E+06   0.479287E+06   0.477885E+00
   0.256436E-04   0.480774E+06   0.480774E+06   0.640995E+06   0.640993E+06   0.481319E+06   0.480799E+06   0.480774E+06   0.489061E+06  -0.602452E+00   0.479287E+06   0.479287E+06   0.527638E+00
   0.283134E-04   0.480774E+06   0.480774E+06   0.640987E+06   0.640984E+06   0.481319E+06   0.480798E+06   0.480774E+06   0.489061E+06  -0.602452E+00   0.479287E+06   0.479287E+06   0.582571E+00
   0.312612E-04   0.480774E+06   0.480774E+06   0.640976E+06   0.640973E+06   0.481318E+06   0.480798E+06   0.480774E+06   0.489060E+06  -0.602451E+00   0.479287E+06   0.479287E+06   0.643222E+00
   0.345158E-04   0.480773E+06   0.480773E+06   0.640964E+06   0.640960E+06   0.481317E+06   0.480798E+06   0.480773E+06   0.489060E+06  -0.602450E+00   0.479286E+06   0.479286E+06   0.710188E+00
   0.381093E-04   0.480773E+06   0.480773E+06   0.640948E+06   0.640944E+06   0.481317E+06   0.480797E+06   0.480773E+06   0.489059E+06  -0.602450E+00   0.479286E+06   0.479286E+06   0.784126E+00
   0.420769E-04   0.480772E+06   0.480772E+06   0.640930E+06   0.640924E+06   0.481316E+06   0.480797E+06   0.480772E+06   0.489058E+06  -0.602449E+00   0.479285E+06   0.479285E+06   0.865760E+00
   0.464576E-04   0.480772E+06   0.480772E+06   0.640907E+06   0.640900E+06   0.481315E+06   0.480796E+06   0.480772E+06   0.489057E+06  -0.602447E+00   0.479285E+06   0.479285E+06   0.955893E+00
   0.512944E-04   0.480771E+06   0.480771E+06   0.640880E+06   0.640871E+06   0.481313E+06   0.480795E+06   0.480771E+06   0.489056E+06  -0.602446E+00   0.479284E+06   0.479284E+06   0.105541E+01
   0.566347E-04   0.480770E+06   0.480770E+06   0.640846E+06   0.640835E+06   0.481312E+06   0.480794E+06   0.480770E+06   0.489055E+06  -0.602444E+00   0.479283E+06   0.479283E+06   0.116529E+01
