#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.588997E+07   0.588997E+07   0.785221E+07   0.785217E+07   0.589015E+07   0.588998E+07   0.588997E+07   0.589839E+07  -0.597218E+00   0.579915E+07   0.579915E+07   0.114664E+02
   0.116112E-04   0.588997E+07   0.588997E+07   0.785197E+07   0.785192E+07   0.589015E+07   0.588997E+07   0.588997E+07   0.589839E+07  -0.597218E+00   0.579915E+07   0.579915E+07   0.126600E+02
   0.128200E-04   0.588996E+07   0.588996E+07   0.785168E+07   0.785162E+07   0.589015E+07   0.588997E+07   0.588996E+07   0.589839E+07  -0.597218E+00   0.579915E+07   0.579915E+07   0.139778E+02
   0.141547E-04   0.588996E+07   0.588996E+07   0.785132E+07   0.785125E+07   0.589014E+07   0.588997E+07   0.588996E+07   0.589838E+07  -0.597218E+00   0.579915E+07   0.579915E+07   0.154327E+02
   0.156284E-04   0.588996E+07   0.588996E+07   0.785089E+07   0.785080E+07   0.589014E+07   0.588997E+07   0.588996E+07   0.589838E+07  -0.597218E+00   0.579915E+07   0.579915E+07   0.170391E+02
   0.172555E-04   0.588996E+07   0.588996E+07   0.785036E+07   0.785025E+07   0.589014E+07   0.588997E+07   0.588996E+07   0.589838E+07  -0.597217E+00   0.579914E+07   0.579914E+07   0.188124E+02
   0.190520E-04   0.588996E+07   0.588995E+07   0.784972E+07   0.784958E+07   0.589014E+07   0.588996E+07   0.588996E+07   0.589837E+07  -0.597217E+00   0.579914E+07   0.579914E+07   0.207703E+02
   0.210355E-04   0.588995E+07   0.588995E+07   0.784894E+07   0.784877E+07   0.589013E+07   0.588996E+07   0.588995E+07   0.589837E+07  -0.597216E+00   0.579914E+07   0.579914E+07   0.229317E+02
   0.232256E-04   0.588995E+07   0.588995E+07   0.784798E+07   0.784778E+07   0.589013E+07   0.588995E+07   0.588995E+07   0.589836E+07  -0.597216E+00   0.579913E+07   0.579913E+07   0.253178E+02
   0.256436E-04   0.588994E+07   0.588994E+07   0.784682E+07   0.784657E+07   0.589012E+07   0.588995E+07   0.588994E+07   0.589836E+07  -0.597215E+00   0.579913E+07   0.579912E+07   0.279518E+02
   0.283134E-04   0.588993E+07   0.588993E+07   0.784540E+07   0.784509E+07   0.589011E+07   0.588994E+07   0.588993E+07   0.589835E+07  -0.597214E+00   0.579912E+07   0.579912E+07   0.308594E+02
   0.312612E-04   0.588992E+07   0.588992E+07   0.784367E+07   0.784330E+07   0.589010E+07   0.588993E+07   0.588992E+07   0.589834E+07  -0.597213E+00   0.579911E+07   0.579911E+07   0.340688E+02
   0.345158E-04   0.588991E+07   0.588991E+07   0.784156E+07   0.784111E+07   0.589009E+07   0.588992E+07   0.588991E+07   0.589832E+07  -0.597211E+00   0.579910E+07   0.579910E+07   0.376113E+02
   0.381093E-04   0.588990E+07   0.588990E+07   0.783899E+07   0.783844E+07   0.589008E+07   0.588991E+07   0.588990E+07   0.589831E+07  -0.597210E+00   0.579909E+07   0.579908E+07   0.415210E+02
   0.420769E-04   0.588989E+07   0.588988E+07   0.783586E+07   0.783519E+07   0.589006E+07   0.588989E+07   0.588988E+07   0.589829E+07  -0.597208E+00   0.579907E+07   0.579907E+07   0.458356E+02
   0.464576E-04   0.588987E+07   0.588986E+07   0.783205E+07   0.783123E+07   0.589004E+07   0.588987E+07   0.588987E+07   0.589827E+07  -0.597205E+00   0.579906E+07   0.579905E+07   0.505966E+02
   0.512944E-04   0.588984E+07   0.588984E+07   0.782740E+07   0.782640E+07   0.589001E+07   0.588985E+07   0.588984E+07   0.589824E+07  -0.597202E+00   0.579903E+07   0.579902E+07   0.558495E+02
   0.566347E-04   0.588982E+07   0.588981E+07   0.782174E+07   0.782052E+07   0.588998E+07   0.588982E+07   0.588981E+07   0.589820E+07  -0.597198E+00   0.579900E+07   0.579900E+07   0.616441E+02
   0.625311E-04   0.588978E+07   0.588977E+07   0.781484E+07   0.781336E+07   0.588995E+07   0.588979E+07   0.588978E+07   0.589816E+07  -0.597194E+00   0.579897E+07   0.579896E+07   0.680352E+02
   0.690413E-04   0.588974E+07   0.588973E+07   0.780645E+07   0.780464E+07   0.588990E+07   0.588974E+07   0.588974E+07   0.589811E+07  -0.597188E+00   0.579893E+07   0.579892E+07   0.750824E+02
   0.762293E-04   0.588969E+07   0.588968E+07   0.779622E+07   0.779402E+07   0.588984E+07   0.588969E+07   0.588968E+07   0.589804E+07  -0.597182E+00   0.579888E+07   0.579886E+07   0.828508E+02
   0.841656E-04   0.588962E+07   0.588961E+07   0.778377E+07   0.778109E+07   0.588978E+07   0.588963E+07   0.588962E+07   0.589797E+07  -0.597174E+00   0.579882E+07   0.579880E+07   0.914112E+02
   0.929282E-04   0.588955E+07   0.588953E+07   0.776861E+07   0.776536E+07   0.588969E+07   0.588955E+07   0.588954E+07   0.589787E+07  -0.597164E+00   0.579874E+07   0.579872E+07   0.100840E+03
   0.102603E-03   0.588945E+07   0.588944E+07   0.775018E+07   0.774622E+07   0.588959E+07   0.588946E+07   0.588945E+07   0.589776E+07  -0.597152E+00   0.579865E+07   0.579862E+07   0.111221E+03
   0.113285E-03   0.588934E+07   0.588932E+07   0.772776E+07   0.772294E+07   0.588947E+07   0.588934E+07   0.588934E+07   0.589762E+07  -0.597137E+00   0.579854E+07   0.579851E+07   0.122642E+03
   0.125080E-03   0.588920E+07   0.588917E+07   0.770052E+07   0.769466E+07   0.588932E+07   0.588920E+07   0.588920E+07   0.589745E+07  -0.597119E+00   0.579841E+07   0.579836E+07   0.135197E+03
   0.138102E-03   0.588903E+07   0.588900E+07   0.766744E+07   0.766031E+07   0.588914E+07   0.588903E+07   0.588903E+07   0.589725E+07  -0.597097E+00   0.579824E+07   0.579819E+07   0.148986E+03
   0.152480E-03   0.588883E+07   0.588879E+07   0.762729E+07   0.761864E+07   0.588892E+07   0.588883E+07   0.588882E+07   0.589700E+07  -0.597070E+00   0.579804E+07   0.579798E+07   0.164113E+03
   0.168355E-03   0.588858E+07   0.588853E+07   0.757862E+07   0.756813E+07   0.588864E+07   0.588857E+07   0.588857E+07   0.589669E+07  -0.597038E+00   0.579780E+07   0.579772E+07   0.180683E+03
   0.185882E-03   0.588827E+07   0.588821E+07   0.751970E+07   0.750697E+07   0.588832E+07   0.588827E+07   0.588826E+07   0.589632E+07  -0.596998E+00   0.579750E+07   0.579740E+07   0.198802E+03
   0.205235E-03   0.588790E+07   0.588783E+07   0.744846E+07   0.743306E+07   0.588791E+07   0.588789E+07   0.588789E+07   0.589587E+07  -0.596950E+00   0.579714E+07   0.579702E+07   0.218572E+03
   0.226602E-03   0.588745E+07   0.588736E+07   0.736249E+07   0.734388E+07   0.588743E+07   0.588744E+07   0.588744E+07   0.589532E+07  -0.596892E+00   0.579670E+07   0.579656E+07   0.240086E+03
   0.250194E-03   0.588690E+07   0.588679E+07   0.725898E+07   0.723653E+07   0.588683E+07   0.588688E+07   0.588689E+07   0.589465E+07  -0.596821E+00   0.579616E+07   0.579599E+07   0.263421E+03
   0.276242E-03   0.588624E+07   0.588610E+07   0.713470E+07   0.710767E+07   0.588611E+07   0.588621E+07   0.588622E+07   0.589384E+07  -0.596735E+00   0.579551E+07   0.579530E+07   0.288628E+03
   0.305002E-03   0.588543E+07   0.588526E+07   0.698596E+07   0.695353E+07   0.588523E+07   0.588539E+07   0.588540E+07   0.589287E+07  -0.596631E+00   0.579471E+07   0.579447E+07   0.315720E+03
   0.336756E-03   0.588444E+07   0.588424E+07   0.680870E+07   0.676992E+07   0.588416E+07   0.588440E+07   0.588441E+07   0.589168E+07  -0.596504E+00   0.579375E+07   0.579345E+07   0.344657E+03
   0.371817E-03   0.588325E+07   0.588300E+07   0.659851E+07   0.655232E+07   0.588286E+07   0.588319E+07   0.588321E+07   0.589024E+07  -0.596351E+00   0.579258E+07   0.579222E+07   0.375321E+03
   0.410527E-03   0.588180E+07   0.588150E+07   0.635081E+07   0.629606E+07   0.588129E+07   0.588173E+07   0.588175E+07   0.588851E+07  -0.596167E+00   0.579115E+07   0.579073E+07   0.407492E+03
   0.453268E-03   0.588004E+07   0.587968E+07   0.606110E+07   0.599664E+07   0.587938E+07   0.587996E+07   0.587998E+07   0.588643E+07  -0.595944E+00   0.578943E+07   0.578892E+07   0.440819E+03
   0.500458E-03   0.587792E+07   0.587749E+07   0.572545E+07   0.565011E+07   0.587708E+07   0.587781E+07   0.587785E+07   0.588392E+07  -0.595677E+00   0.578734E+07   0.578674E+07   0.474781E+03
   0.552561E-03   0.587535E+07   0.587484E+07   0.534103E+07   0.525380E+07   0.587429E+07   0.587522E+07   0.587527E+07   0.588092E+07  -0.595356E+00   0.578482E+07   0.578410E+07   0.508648E+03
