#           k/h    P           
    0.10000E-03    0.84056E+02
    0.10202E-03    0.85695E+02
    0.10408E-03    0.87366E+02
    0.10618E-03    0.89070E+02
    0.10833E-03    0.90807E+02
    0.11052E-03    0.92577E+02
    0.11275E-03    0.94382E+02
    0.11503E-03    0.96223E+02
    0.11735E-03    0.98099E+02
    0.11972E-03    0.10001E+03
    0.12214E-03    0.10196E+03
    0.12461E-03    0.10395E+03
    0.12712E-03    0.10598E+03
    0.12969E-03    0.10804E+03
    0.13231E-03    0.11015E+03
    0.13499E-03    0.11230E+03
    0.13771E-03    0.11448E+03
    0.14049E-03    0.11672E+03
    0.14333E-03    0.11899E+03
    0.14623E-03    0.12131E+03
    0.14918E-03    0.12368E+03
    0.15220E-03    0.12609E+03
    0.15527E-03    0.12854E+03
    0.15841E-03    0.13105E+03
    0.16161E-03    0.13360E+03
    0.16487E-03    0.13621E+03
    0.16820E-03    0.13886E+03
    0.17160E-03    0.14157E+03
    0.17507E-03    0.14432E+03
    0.17860E-03    0.14714E+03
    0.18221E-03    0.15000E+03
    0.18589E-03    0.15293E+03
    0.18965E-03    0.15590E+03
    0.19348E-03    0.15894E+03
    0.19739E-03    0.16204E+03
    0.20138E-03    0.16519E+03
    0.20544E-03    0.16841E+03
    0.20959E-03    0.17169E+03
    0.21383E-03    0.17504E+03
    0.21815E-03    0.17844E+03
    0.22255E-03    0.18192E+03
    0.22705E-03    0.18546E+03
    0.23164E-03    0.18907E+03
    0.23632E-03    0.19275E+03
    0.24109E-03    0.19650E+03
    0.24596E-03    0.20033E+03
    0.25093E-03    0.20423E+03
    0.25600E-03    0.20820E+03
    0.26117E-03    0.21225E+03
    0.26645E-03    0.21638E+03
    0.27183E-03    0.22059E+03
    0.27732E-03    0.22488E+03
    0.28292E-03    0.22926E+03
    0.28864E-03    0.23371E+03
    0.29447E-03    0.23826E+03
    0.30042E-03    0.24289E+03
    0.30649E-03    0.24761E+03
    0.31268E-03    0.25243E+03
    0.31899E-03    0.25733E+03
    0.32544E-03    0.26233E+03
    0.33201E-03    0.26743E+03
    0.33872E-03    0.27262E+03
    0.34556E-03    0.27792E+03
    0.35254E-03    0.28332E+03
    0.35966E-03    0.28882E+03
    0.36693E-03    0.29442E+03
    0.37434E-03    0.30014E+03
    0.38190E-03    0.30596E+03
    0.38962E-03    0.31190E+03
    0.39749E-03    0.31794E+03
    0.40552E-03    0.32411E+03
    0.41371E-03    0.33039E+03
    0.42207E-03    0.33680E+03
    0.43060E-03    0.34332E+03
    0.43929E-03    0.34997E+03
    0.44817E-03    0.35675E+03
    0.45722E-03    0.36366E+03
    0.46646E-03    0.37070E+03
    0.47588E-03    0.37787E+03
    0.48550E-03    0.38518E+03
    0.49530E-03    0.39263E+03
    0.50531E-03    0.40022E+03
    0.51552E-03    0.40795E+03
    0.52593E-03    0.41583E+03
    0.53656E-03    0.42386E+03
    0.54739E-03    0.43204E+03
    0.55845E-03    0.44038E+03
    0.56973E-03    0.44887E+03
    0.58124E-03    0.45752E+03
    0.59299E-03    0.46634E+03
    0.60496E-03    0.47532E+03
    0.61719E-03    0.48447E+03
    0.62965E-03    0.49379E+03
    0.64237E-03    0.50329E+03
    0.65535E-03    0.51296E+03
    0.66859E-03    0.52282E+03
    0.68210E-03    0.53285E+03
    0.69588E-03    0.54308E+03
    0.70993E-03    0.55349E+03
    0.72427E-03    0.56410E+03
    0.73891E-03    0.57490E+03
    0.75383E-03    0.58591E+03
    0.76906E-03    0.59711E+03
    0.78460E-03    0.60853E+03
    0.80045E-03    0.62015E+03
    0.81662E-03    0.63199E+03
    0.83311E-03    0.64404E+03
    0.84994E-03    0.65631E+03
    0.86711E-03    0.66881E+03
    0.88463E-03    0.68153E+03
    0.90250E-03    0.69448E+03
    0.92073E-03    0.70767E+03
    0.93933E-03    0.72110E+03
    0.95831E-03    0.73476E+03
    0.97767E-03    0.74868E+03
    0.99742E-03    0.76284E+03
    0.10176E-02    0.77726E+03
    0.10381E-02    0.79193E+03
    0.10591E-02    0.80686E+03
    0.10805E-02    0.82206E+03
    0.11023E-02    0.83752E+03
    0.11246E-02    0.85326E+03
    0.11473E-02    0.86928E+03
    0.11705E-02    0.88557E+03
    0.11941E-02    0.90215E+03
    0.12182E-02    0.91902E+03
    0.12429E-02    0.93618E+03
    0.12680E-02    0.95363E+03
    0.12936E-02    0.97139E+03
    0.13197E-02    0.98945E+03
    0.13464E-02    0.10078E+04
    0.13736E-02    0.10265E+04
    0.14013E-02    0.10455E+04
    0.14296E-02    0.10648E+04
    0.14585E-02    0.10844E+04
    0.14880E-02    0.11044E+04
    0.15180E-02    0.11247E+04
    0.15487E-02    0.11453E+04
    0.15800E-02    0.11663E+04
    0.16119E-02    0.11876E+04
    0.16445E-02    0.12093E+04
    0.16777E-02    0.12313E+04
    0.17116E-02    0.12537E+04
    0.17462E-02    0.12764E+04
    0.17814E-02    0.12995E+04
    0.18174E-02    0.13230E+04
    0.18541E-02    0.13468E+04
    0.18916E-02    0.13710E+04
    0.19298E-02    0.13956E+04
    0.19688E-02    0.14205E+04
    0.20086E-02    0.14459E+04
    0.20491E-02    0.14716E+04
    0.20905E-02    0.14977E+04
    0.21328E-02    0.15242E+04
    0.21758E-02    0.15510E+04
    0.22198E-02    0.15783E+04
    0.22646E-02    0.16060E+04
    0.23104E-02    0.16341E+04
    0.23571E-02    0.16625E+04
    0.24047E-02    0.16914E+04
    0.24533E-02    0.17207E+04
    0.25028E-02    0.17504E+04
    0.25534E-02    0.17805E+04
    0.26050E-02    0.18109E+04
    0.26576E-02    0.18418E+04
    0.27113E-02    0.18731E+04
    0.27660E-02    0.19049E+04
    0.28219E-02    0.19370E+04
    0.28789E-02    0.19695E+04
    0.29371E-02    0.20024E+04
    0.29964E-02    0.20357E+04
    0.30569E-02    0.20695E+04
    0.31187E-02    0.21036E+04
    0.31817E-02    0.21381E+04
    0.32460E-02    0.21730E+04
    0.33115E-02    0.22083E+04
    0.33784E-02    0.22440E+04
    0.34467E-02    0.22801E+04
    0.35163E-02    0.23166E+04
    0.35874E-02    0.23534E+04
    0.36598E-02    0.23906E+04
    0.37338E-02    0.24282E+04
    0.38092E-02    0.24661E+04
    0.38861E-02    0.25043E+04
    0.39646E-02    0.25429E+04
    0.40447E-02    0.25819E+04
    0.41264E-02    0.26211E+04
    0.42098E-02    0.26607E+04
    0.42948E-02    0.27006E+04
    0.43816E-02    0.27407E+04
    0.44701E-02    0.27812E+04
    0.45604E-02    0.28219E+04
    0.46525E-02    0.28628E+04
    0.47465E-02    0.29041E+04
    0.48424E-02    0.29455E+04
    0.49402E-02    0.29871E+04
    0.50400E-02    0.30290E+04
    0.51419E-02    0.30710E+04
    0.52457E-02    0.31131E+04
    0.53517E-02    0.31555E+04
    0.54598E-02    0.31979E+04
    0.55701E-02    0.32404E+04
    0.56826E-02    0.32830E+04
    0.57974E-02    0.33257E+04
    0.59145E-02    0.33684E+04
    0.60340E-02    0.34111E+04
    0.61559E-02    0.34538E+04
    0.62803E-02    0.34964E+04
    0.64072E-02    0.35390E+04
    0.65366E-02    0.35815E+04
    0.66686E-02    0.36238E+04
    0.68033E-02    0.36660E+04
    0.69408E-02    0.37080E+04
    0.70810E-02    0.37498E+04
    0.72240E-02    0.37913E+04
    0.73700E-02    0.38325E+04
    0.75189E-02    0.38734E+04
    0.76708E-02    0.39140E+04
    0.78257E-02    0.39541E+04
    0.79838E-02    0.39939E+04
    0.81451E-02    0.40331E+04
    0.83096E-02    0.40718E+04
    0.84775E-02    0.41100E+04
    0.86488E-02    0.41475E+04
    0.88235E-02    0.41845E+04
    0.90017E-02    0.42207E+04
    0.91836E-02    0.42563E+04
    0.93691E-02    0.42910E+04
    0.95583E-02    0.43249E+04
    0.97514E-02    0.43580E+04
    0.99484E-02    0.43902E+04
    0.10149E-01    0.44214E+04
    0.10354E-01    0.44516E+04
    0.10564E-01    0.44807E+04
    0.10777E-01    0.45088E+04
    0.10995E-01    0.45356E+04
    0.11217E-01    0.45613E+04
    0.11443E-01    0.45858E+04
    0.11675E-01    0.46089E+04
    0.11910E-01    0.46307E+04
    0.12151E-01    0.46511E+04
    0.12397E-01    0.46700E+04
    0.12647E-01    0.46875E+04
    0.12902E-01    0.47034E+04
    0.13163E-01    0.47177E+04
    0.13429E-01    0.47303E+04
    0.13700E-01    0.47413E+04
    0.13977E-01    0.47505E+04
    0.14259E-01    0.47579E+04
    0.14547E-01    0.47635E+04
    0.14841E-01    0.47672E+04
    0.15141E-01    0.47690E+04
    0.15447E-01    0.47689E+04
    0.15759E-01    0.47667E+04
    0.16077E-01    0.47625E+04
    0.16402E-01    0.47563E+04
    0.16734E-01    0.47479E+04
    0.17072E-01    0.47375E+04
