#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.689520E+07   0.689520E+07   0.919210E+07   0.919205E+07   0.689537E+07   0.689520E+07   0.689520E+07   0.690359E+07  -0.595347E+00   0.672728E+07   0.672728E+07   0.113438E+02
   0.116112E-04   0.689519E+07   0.689519E+07   0.919178E+07   0.919170E+07   0.689537E+07   0.689520E+07   0.689519E+07   0.690359E+07  -0.595347E+00   0.672728E+07   0.672728E+07   0.125246E+02
   0.128200E-04   0.689519E+07   0.689519E+07   0.919138E+07   0.919129E+07   0.689537E+07   0.689520E+07   0.689519E+07   0.690359E+07  -0.595347E+00   0.672727E+07   0.672727E+07   0.138283E+02
   0.141547E-04   0.689519E+07   0.689519E+07   0.919089E+07   0.919078E+07   0.689536E+07   0.689520E+07   0.689519E+07   0.690359E+07  -0.595347E+00   0.672727E+07   0.672727E+07   0.152677E+02
   0.156284E-04   0.689519E+07   0.689519E+07   0.919030E+07   0.919016E+07   0.689536E+07   0.689520E+07   0.689519E+07   0.690358E+07  -0.595346E+00   0.672727E+07   0.672727E+07   0.168567E+02
   0.172555E-04   0.689518E+07   0.689518E+07   0.918957E+07   0.918941E+07   0.689536E+07   0.689519E+07   0.689518E+07   0.690358E+07  -0.595346E+00   0.672727E+07   0.672726E+07   0.186111E+02
   0.190520E-04   0.689518E+07   0.689518E+07   0.918869E+07   0.918849E+07   0.689535E+07   0.689519E+07   0.689518E+07   0.690357E+07  -0.595346E+00   0.672726E+07   0.672726E+07   0.205479E+02
   0.210355E-04   0.689518E+07   0.689517E+07   0.918761E+07   0.918738E+07   0.689535E+07   0.689518E+07   0.689518E+07   0.690357E+07  -0.595345E+00   0.672726E+07   0.672726E+07   0.226861E+02
   0.232256E-04   0.689517E+07   0.689517E+07   0.918630E+07   0.918601E+07   0.689534E+07   0.689518E+07   0.689517E+07   0.690356E+07  -0.595344E+00   0.672725E+07   0.672725E+07   0.250464E+02
   0.256436E-04   0.689516E+07   0.689516E+07   0.918470E+07   0.918435E+07   0.689534E+07   0.689517E+07   0.689516E+07   0.690355E+07  -0.595344E+00   0.672724E+07   0.672724E+07   0.276520E+02
   0.283134E-04   0.689515E+07   0.689515E+07   0.918275E+07   0.918232E+07   0.689533E+07   0.689516E+07   0.689515E+07   0.690354E+07  -0.595343E+00   0.672724E+07   0.672723E+07   0.305282E+02
   0.312612E-04   0.689514E+07   0.689514E+07   0.918038E+07   0.917985E+07   0.689531E+07   0.689515E+07   0.689514E+07   0.690353E+07  -0.595341E+00   0.672723E+07   0.672722E+07   0.337029E+02
   0.345158E-04   0.689513E+07   0.689513E+07   0.917748E+07   0.917684E+07   0.689530E+07   0.689514E+07   0.689513E+07   0.690351E+07  -0.595340E+00   0.672721E+07   0.672721E+07   0.372068E+02
   0.381093E-04   0.689511E+07   0.689511E+07   0.917396E+07   0.917318E+07   0.689528E+07   0.689512E+07   0.689511E+07   0.690349E+07  -0.595338E+00   0.672720E+07   0.672719E+07   0.410738E+02
   0.420769E-04   0.689510E+07   0.689509E+07   0.916966E+07   0.916871E+07   0.689526E+07   0.689510E+07   0.689510E+07   0.690347E+07  -0.595336E+00   0.672718E+07   0.672717E+07   0.453411E+02
   0.464576E-04   0.689507E+07   0.689507E+07   0.916442E+07   0.916326E+07   0.689524E+07   0.689508E+07   0.689507E+07   0.690344E+07  -0.595334E+00   0.672716E+07   0.672715E+07   0.500496E+02
   0.512944E-04   0.689504E+07   0.689504E+07   0.915804E+07   0.915663E+07   0.689521E+07   0.689505E+07   0.689504E+07   0.690341E+07  -0.595331E+00   0.672713E+07   0.672712E+07   0.552441E+02
   0.566347E-04   0.689501E+07   0.689500E+07   0.915027E+07   0.914855E+07   0.689517E+07   0.689502E+07   0.689501E+07   0.690337E+07  -0.595327E+00   0.672710E+07   0.672709E+07   0.609739E+02
   0.625311E-04   0.689497E+07   0.689496E+07   0.914081E+07   0.913871E+07   0.689513E+07   0.689497E+07   0.689497E+07   0.690332E+07  -0.595322E+00   0.672706E+07   0.672704E+07   0.672927E+02
   0.690413E-04   0.689492E+07   0.689490E+07   0.912928E+07   0.912673E+07   0.689507E+07   0.689492E+07   0.689491E+07   0.690325E+07  -0.595316E+00   0.672701E+07   0.672699E+07   0.742592E+02
   0.762293E-04   0.689485E+07   0.689484E+07   0.911524E+07   0.911214E+07   0.689500E+07   0.689486E+07   0.689485E+07   0.690318E+07  -0.595309E+00   0.672694E+07   0.672693E+07   0.819373E+02
   0.841656E-04   0.689478E+07   0.689476E+07   0.909817E+07   0.909438E+07   0.689492E+07   0.689478E+07   0.689477E+07   0.690308E+07  -0.595301E+00   0.672687E+07   0.672685E+07   0.903966E+02
   0.929282E-04   0.689468E+07   0.689466E+07   0.907739E+07   0.907278E+07   0.689482E+07   0.689469E+07   0.689468E+07   0.690297E+07  -0.595291E+00   0.672678E+07   0.672676E+07   0.997120E+02
   0.102603E-03   0.689457E+07   0.689454E+07   0.905212E+07   0.904652E+07   0.689470E+07   0.689457E+07   0.689457E+07   0.690283E+07  -0.595278E+00   0.672667E+07   0.672664E+07   0.109964E+03
   0.113285E-03   0.689443E+07   0.689440E+07   0.902140E+07   0.901459E+07   0.689455E+07   0.689443E+07   0.689443E+07   0.690266E+07  -0.595263E+00   0.672654E+07   0.672650E+07   0.121239E+03
   0.125080E-03   0.689426E+07   0.689423E+07   0.898410E+07   0.897582E+07   0.689437E+07   0.689426E+07   0.689426E+07   0.690246E+07  -0.595245E+00   0.672637E+07   0.672633E+07   0.133629E+03
   0.138102E-03   0.689406E+07   0.689401E+07   0.893882E+07   0.892876E+07   0.689415E+07   0.689406E+07   0.689405E+07   0.690221E+07  -0.595222E+00   0.672617E+07   0.672612E+07   0.147229E+03
   0.152480E-03   0.689381E+07   0.689375E+07   0.888392E+07   0.887172E+07   0.689388E+07   0.689380E+07   0.689380E+07   0.690191E+07  -0.595195E+00   0.672593E+07   0.672586E+07   0.162137E+03
   0.168355E-03   0.689350E+07   0.689344E+07   0.881743E+07   0.880264E+07   0.689356E+07   0.689350E+07   0.689349E+07   0.690154E+07  -0.595161E+00   0.672564E+07   0.672556E+07   0.178454E+03
   0.185882E-03   0.689313E+07   0.689305E+07   0.873702E+07   0.871912E+07   0.689316E+07   0.689312E+07   0.689312E+07   0.690109E+07  -0.595121E+00   0.672528E+07   0.672518E+07   0.196278E+03
   0.205235E-03   0.689268E+07   0.689258E+07   0.863996E+07   0.861831E+07   0.689268E+07   0.689267E+07   0.689267E+07   0.690055E+07  -0.595071E+00   0.672484E+07   0.672472E+07   0.215702E+03
   0.226602E-03   0.689213E+07   0.689202E+07   0.852303E+07   0.849691E+07   0.689209E+07   0.689211E+07   0.689211E+07   0.689988E+07  -0.595011E+00   0.672431E+07   0.672416E+07   0.236807E+03
   0.250194E-03   0.689146E+07   0.689132E+07   0.838256E+07   0.835110E+07   0.689137E+07   0.689144E+07   0.689144E+07   0.689908E+07  -0.594938E+00   0.672366E+07   0.672348E+07   0.259653E+03
