#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.127896E+07   0.127896E+07   0.170523E+07   0.170523E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601021E+00   0.127679E+07   0.127679E+07   0.923309E-01
   0.116112E-04   0.127896E+07   0.127896E+07   0.170522E+07   0.170522E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601021E+00   0.127679E+07   0.127679E+07   0.101944E+00
   0.128200E-04   0.127896E+07   0.127896E+07   0.170520E+07   0.170520E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601021E+00   0.127679E+07   0.127679E+07   0.112557E+00
   0.141547E-04   0.127896E+07   0.127896E+07   0.170519E+07   0.170519E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601020E+00   0.127678E+07   0.127678E+07   0.124275E+00
   0.156284E-04   0.127896E+07   0.127896E+07   0.170517E+07   0.170517E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601020E+00   0.127678E+07   0.127678E+07   0.137214E+00
   0.172555E-04   0.127896E+07   0.127896E+07   0.170514E+07   0.170514E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601020E+00   0.127678E+07   0.127678E+07   0.151499E+00
   0.190520E-04   0.127896E+07   0.127896E+07   0.170511E+07   0.170511E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601020E+00   0.127678E+07   0.127678E+07   0.167272E+00
   0.210355E-04   0.127896E+07   0.127896E+07   0.170508E+07   0.170507E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601019E+00   0.127678E+07   0.127678E+07   0.184686E+00
   0.232256E-04   0.127896E+07   0.127896E+07   0.170503E+07   0.170503E+07   0.127926E+07   0.127897E+07   0.127896E+07   0.128736E+07  -0.601019E+00   0.127678E+07   0.127678E+07   0.203914E+00
   0.256436E-04   0.127895E+07   0.127895E+07   0.170498E+07   0.170497E+07   0.127926E+07   0.127897E+07   0.127895E+07   0.128736E+07  -0.601018E+00   0.127678E+07   0.127678E+07   0.225143E+00
