#           k/h    P           
    0.10000E-03    0.22882E+03
    0.10202E-03    0.23328E+03
    0.10408E-03    0.23783E+03
    0.10618E-03    0.24247E+03
    0.10833E-03    0.24719E+03
    0.11052E-03    0.25201E+03
    0.11275E-03    0.25693E+03
    0.11503E-03    0.26194E+03
    0.11735E-03    0.26704E+03
    0.11972E-03    0.27225E+03
    0.12214E-03    0.27756E+03
    0.12461E-03    0.28297E+03
    0.12712E-03    0.28848E+03
    0.12969E-03    0.29411E+03
    0.13231E-03    0.29984E+03
    0.13499E-03    0.30569E+03
    0.13771E-03    0.31165E+03
    0.14049E-03    0.31772E+03
    0.14333E-03    0.32391E+03
    0.14623E-03    0.33023E+03
    0.14918E-03    0.33666E+03
    0.15220E-03    0.34322E+03
    0.15527E-03    0.34991E+03
    0.15841E-03    0.35673E+03
    0.16161E-03    0.36368E+03
    0.16487E-03    0.37077E+03
    0.16820E-03    0.37799E+03
    0.17160E-03    0.38536E+03
    0.17507E-03    0.39286E+03
    0.17860E-03    0.40052E+03
    0.18221E-03    0.40832E+03
    0.18589E-03    0.41627E+03
    0.18965E-03    0.42438E+03
    0.19348E-03    0.43265E+03
    0.19739E-03    0.44107E+03
    0.20138E-03    0.44966E+03
    0.20544E-03    0.45842E+03
    0.20959E-03    0.46735E+03
    0.21383E-03    0.47645E+03
    0.21815E-03    0.48572E+03
    0.22255E-03    0.49518E+03
    0.22705E-03    0.50482E+03
    0.23164E-03    0.51464E+03
    0.23632E-03    0.52466E+03
    0.24109E-03    0.53487E+03
    0.24596E-03    0.54528E+03
    0.25093E-03    0.55589E+03
    0.25600E-03    0.56670E+03
    0.26117E-03    0.57773E+03
    0.26645E-03    0.58896E+03
    0.27183E-03    0.60042E+03
    0.27732E-03    0.61209E+03
    0.28292E-03    0.62399E+03
    0.28864E-03    0.63612E+03
    0.29447E-03    0.64849E+03
    0.30042E-03    0.66109E+03
    0.30649E-03    0.67394E+03
    0.31268E-03    0.68703E+03
    0.31899E-03    0.70038E+03
    0.32544E-03    0.71398E+03
    0.33201E-03    0.72785E+03
    0.33872E-03    0.74198E+03
    0.34556E-03    0.75639E+03
    0.35254E-03    0.77107E+03
    0.35966E-03    0.78603E+03
    0.36693E-03    0.80128E+03
    0.37434E-03    0.81682E+03
    0.38190E-03    0.83267E+03
    0.38962E-03    0.84881E+03
    0.39749E-03    0.86526E+03
    0.40552E-03    0.88203E+03
    0.41371E-03    0.89912E+03
    0.42207E-03    0.91654E+03
    0.43060E-03    0.93428E+03
    0.43929E-03    0.95237E+03
    0.44817E-03    0.97080E+03
    0.45722E-03    0.98959E+03
    0.46646E-03    0.10087E+04
    0.47588E-03    0.10282E+04
    0.48550E-03    0.10481E+04
    0.49530E-03    0.10684E+04
    0.50531E-03    0.10890E+04
    0.51552E-03    0.11100E+04
    0.52593E-03    0.11314E+04
    0.53656E-03    0.11533E+04
    0.54739E-03    0.11755E+04
    0.55845E-03    0.11982E+04
    0.56973E-03    0.12213E+04
    0.58124E-03    0.12448E+04
    0.59299E-03    0.12687E+04
    0.60496E-03    0.12932E+04
    0.61719E-03    0.13180E+04
    0.62965E-03    0.13434E+04
    0.64237E-03    0.13692E+04
    0.65535E-03    0.13955E+04
    0.66859E-03    0.14222E+04
    0.68210E-03    0.14495E+04
    0.69588E-03    0.14773E+04
    0.70993E-03    0.15056E+04
    0.72427E-03    0.15344E+04
    0.73891E-03    0.15638E+04
    0.75383E-03    0.15937E+04
    0.76906E-03    0.16241E+04
    0.78460E-03    0.16551E+04
    0.80045E-03    0.16867E+04
    0.81662E-03    0.17189E+04
    0.83311E-03    0.17516E+04
    0.84994E-03    0.17850E+04
    0.86711E-03    0.18189E+04
    0.88463E-03    0.18535E+04
    0.90250E-03    0.18887E+04
    0.92073E-03    0.19245E+04
    0.93933E-03    0.19610E+04
    0.95831E-03    0.19981E+04
    0.97767E-03    0.20359E+04
    0.99742E-03    0.20744E+04
    0.10176E-02    0.21135E+04
    0.10381E-02    0.21534E+04
    0.10591E-02    0.21940E+04
    0.10805E-02    0.22352E+04
    0.11023E-02    0.22773E+04
    0.11246E-02    0.23200E+04
    0.11473E-02    0.23635E+04
    0.11705E-02    0.24078E+04
    0.11941E-02    0.24528E+04
    0.12182E-02    0.24986E+04
    0.12429E-02    0.25453E+04
    0.12680E-02    0.25927E+04
    0.12936E-02    0.26409E+04
    0.13197E-02    0.26900E+04
    0.13464E-02    0.27399E+04
    0.13736E-02    0.27906E+04
    0.14013E-02    0.28422E+04
    0.14296E-02    0.28947E+04
    0.14585E-02    0.29481E+04
    0.14880E-02    0.30023E+04
    0.15180E-02    0.30574E+04
    0.15487E-02    0.31135E+04
    0.15800E-02    0.31705E+04
    0.16119E-02    0.32284E+04
    0.16445E-02    0.32873E+04
    0.16777E-02    0.33471E+04
    0.17116E-02    0.34078E+04
    0.17462E-02    0.34696E+04
    0.17814E-02    0.35323E+04
    0.18174E-02    0.35960E+04
    0.18541E-02    0.36607E+04
    0.18916E-02    0.37265E+04
    0.19298E-02    0.37932E+04
    0.19688E-02    0.38610E+04
    0.20086E-02    0.39298E+04
    0.20491E-02    0.39996E+04
    0.20905E-02    0.40705E+04
    0.21328E-02    0.41425E+04
    0.21758E-02    0.42155E+04
    0.22198E-02    0.42895E+04
    0.22646E-02    0.43647E+04
    0.23104E-02    0.44409E+04
    0.23571E-02    0.45182E+04
    0.24047E-02    0.45966E+04
    0.24533E-02    0.46761E+04
    0.25028E-02    0.47567E+04
    0.25534E-02    0.48384E+04
    0.26050E-02    0.49212E+04
    0.26576E-02    0.50051E+04
    0.27113E-02    0.50900E+04
    0.27660E-02    0.51761E+04
    0.28219E-02    0.52633E+04
    0.28789E-02    0.53515E+04
    0.29371E-02    0.54409E+04
    0.29964E-02    0.55314E+04
    0.30569E-02    0.56229E+04
    0.31187E-02    0.57155E+04
    0.31817E-02    0.58092E+04
    0.32460E-02    0.59039E+04
    0.33115E-02    0.59997E+04
