#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.163038E+07   0.163038E+07   0.217376E+07   0.217376E+07   0.163066E+07   0.163040E+07   0.163038E+07   0.163881E+07  -0.600778E+00   0.162780E+07   0.162780E+07   0.915052E-01
   0.116112E-04   0.163038E+07   0.163038E+07   0.217375E+07   0.217374E+07   0.163066E+07   0.163040E+07   0.163038E+07   0.163881E+07  -0.600778E+00   0.162780E+07   0.162780E+07   0.101032E+00
   0.128200E-04   0.163038E+07   0.163038E+07   0.217372E+07   0.217372E+07   0.163066E+07   0.163040E+07   0.163038E+07   0.163880E+07  -0.600778E+00   0.162780E+07   0.162780E+07   0.111550E+00
   0.141547E-04   0.163038E+07   0.163038E+07   0.217370E+07   0.217370E+07   0.163066E+07   0.163040E+07   0.163038E+07   0.163880E+07  -0.600777E+00   0.162780E+07   0.162780E+07   0.123163E+00
   0.156284E-04   0.163038E+07   0.163038E+07   0.217366E+07   0.217366E+07   0.163066E+07   0.163040E+07   0.163038E+07   0.163880E+07  -0.600777E+00   0.162780E+07   0.162780E+07   0.135986E+00
   0.172555E-04   0.163038E+07   0.163038E+07   0.217362E+07   0.217362E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600777E+00   0.162780E+07   0.162780E+07   0.150143E+00
   0.190520E-04   0.163038E+07   0.163038E+07   0.217358E+07   0.217357E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600777E+00   0.162780E+07   0.162780E+07   0.165774E+00
   0.210355E-04   0.163038E+07   0.163038E+07   0.217352E+07   0.217351E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600776E+00   0.162779E+07   0.162779E+07   0.183032E+00
   0.232256E-04   0.163038E+07   0.163038E+07   0.217344E+07   0.217344E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600776E+00   0.162779E+07   0.162779E+07   0.202087E+00
   0.256436E-04   0.163038E+07   0.163038E+07   0.217336E+07   0.217335E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600775E+00   0.162779E+07   0.162779E+07   0.223125E+00
   0.283134E-04   0.163038E+07   0.163038E+07   0.217325E+07   0.217324E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600775E+00   0.162779E+07   0.162779E+07   0.246352E+00
   0.312612E-04   0.163038E+07   0.163038E+07   0.217312E+07   0.217310E+07   0.163065E+07   0.163039E+07   0.163038E+07   0.163880E+07  -0.600774E+00   0.162779E+07   0.162779E+07   0.271997E+00
   0.345158E-04   0.163037E+07   0.163037E+07   0.217296E+07   0.217294E+07   0.163064E+07   0.163039E+07   0.163037E+07   0.163879E+07  -0.600773E+00   0.162779E+07   0.162779E+07   0.300311E+00
   0.381093E-04   0.163037E+07   0.163037E+07   0.217276E+07   0.217274E+07   0.163064E+07   0.163038E+07   0.163037E+07   0.163879E+07  -0.600771E+00   0.162779E+07   0.162779E+07   0.331572E+00
   0.420769E-04   0.163037E+07   0.163037E+07   0.217253E+07   0.217250E+07   0.163064E+07   0.163038E+07   0.163037E+07   0.163879E+07  -0.600770E+00   0.162778E+07   0.162778E+07   0.366085E+00
   0.464576E-04   0.163037E+07   0.163037E+07   0.217224E+07   0.217221E+07   0.163063E+07   0.163038E+07   0.163037E+07   0.163878E+07  -0.600768E+00   0.162778E+07   0.162778E+07   0.404189E+00
   0.512944E-04   0.163036E+07   0.163036E+07   0.217188E+07   0.217185E+07   0.163063E+07   0.163037E+07   0.163036E+07   0.163877E+07  -0.600766E+00   0.162778E+07   0.162777E+07   0.446257E+00
   0.566347E-04   0.163036E+07   0.163036E+07   0.217146E+07   0.217141E+07   0.163062E+07   0.163037E+07   0.163036E+07   0.163877E+07  -0.600763E+00   0.162777E+07   0.162777E+07   0.492699E+00
   0.625311E-04   0.163035E+07   0.163035E+07   0.217093E+07   0.217088E+07   0.163061E+07   0.163036E+07   0.163035E+07   0.163876E+07  -0.600760E+00   0.162776E+07   0.162776E+07   0.543971E+00
   0.690413E-04   0.163034E+07   0.163034E+07   0.217029E+07   0.217023E+07   0.163060E+07   0.163035E+07   0.163034E+07   0.163875E+07  -0.600756E+00   0.162776E+07   0.162776E+07   0.600573E+00
   0.762293E-04   0.163033E+07   0.163033E+07   0.216952E+07   0.216944E+07   0.163059E+07   0.163034E+07   0.163033E+07   0.163874E+07  -0.600751E+00   0.162775E+07   0.162775E+07   0.663057E+00
   0.841656E-04   0.163032E+07   0.163032E+07   0.216857E+07   0.216847E+07   0.163057E+07   0.163033E+07   0.163032E+07   0.163872E+07  -0.600745E+00   0.162773E+07   0.162773E+07   0.732031E+00
   0.929282E-04   0.163031E+07   0.163030E+07   0.216741E+07   0.216730E+07   0.163056E+07   0.163032E+07   0.163031E+07   0.163870E+07  -0.600737E+00   0.162772E+07   0.162772E+07   0.808165E+00
   0.102603E-03   0.163029E+07   0.163029E+07   0.216601E+07   0.216587E+07   0.163053E+07   0.163030E+07   0.163029E+07   0.163868E+07  -0.600729E+00   0.162770E+07   0.162770E+07   0.892200E+00
   0.113285E-03   0.163027E+07   0.163027E+07   0.216429E+07   0.216412E+07   0.163051E+07   0.163028E+07   0.163027E+07   0.163865E+07  -0.600718E+00   0.162768E+07   0.162768E+07   0.984947E+00
   0.125080E-03   0.163024E+07   0.163024E+07   0.216220E+07   0.216200E+07   0.163047E+07   0.163025E+07   0.163024E+07   0.163862E+07  -0.600704E+00   0.162766E+07   0.162766E+07   0.108730E+01
