#           k/h    P           
    0.10000E-03    0.47878E+01
    0.10202E-03    0.48812E+01
    0.10408E-03    0.49764E+01
    0.10618E-03    0.50734E+01
    0.10833E-03    0.51724E+01
    0.11052E-03    0.52733E+01
    0.11275E-03    0.53761E+01
    0.11503E-03    0.54809E+01
    0.11735E-03    0.55878E+01
    0.11972E-03    0.56968E+01
    0.12214E-03    0.58079E+01
    0.12461E-03    0.59211E+01
    0.12712E-03    0.60366E+01
    0.12969E-03    0.61543E+01
    0.13231E-03    0.62743E+01
    0.13499E-03    0.63966E+01
    0.13771E-03    0.65214E+01
    0.14049E-03    0.66485E+01
    0.14333E-03    0.67781E+01
    0.14623E-03    0.69103E+01
    0.14918E-03    0.70450E+01
    0.15220E-03    0.71824E+01
    0.15527E-03    0.73224E+01
    0.15841E-03    0.74651E+01
    0.16161E-03    0.76107E+01
    0.16487E-03    0.77590E+01
    0.16820E-03    0.79103E+01
    0.17160E-03    0.80645E+01
    0.17507E-03    0.82217E+01
    0.17860E-03    0.83819E+01
    0.18221E-03    0.85453E+01
    0.18589E-03    0.87118E+01
    0.18965E-03    0.88816E+01
    0.19348E-03    0.90547E+01
    0.19739E-03    0.92312E+01
    0.20138E-03    0.94111E+01
    0.20544E-03    0.95944E+01
    0.20959E-03    0.97814E+01
    0.21383E-03    0.99720E+01
    0.21815E-03    0.10166E+02
    0.22255E-03    0.10364E+02
    0.22705E-03    0.10566E+02
    0.23164E-03    0.10772E+02
    0.23632E-03    0.10982E+02
    0.24109E-03    0.11196E+02
    0.24596E-03    0.11414E+02
    0.25093E-03    0.11636E+02
    0.25600E-03    0.11863E+02
    0.26117E-03    0.12094E+02
    0.26645E-03    0.12329E+02
    0.27183E-03    0.12569E+02
    0.27732E-03    0.12814E+02
    0.28292E-03    0.13063E+02
    0.28864E-03    0.13318E+02
    0.29447E-03    0.13577E+02
    0.30042E-03    0.13841E+02
    0.30649E-03    0.14111E+02
    0.31268E-03    0.14385E+02
    0.31899E-03    0.14665E+02
    0.32544E-03    0.14950E+02
    0.33201E-03    0.15241E+02
    0.33872E-03    0.15538E+02
    0.34556E-03    0.15840E+02
    0.35254E-03    0.16148E+02
    0.35966E-03    0.16462E+02
    0.36693E-03    0.16782E+02
    0.37434E-03    0.17108E+02
    0.38190E-03    0.17440E+02
    0.38962E-03    0.17779E+02
    0.39749E-03    0.18125E+02
    0.40552E-03    0.18477E+02
    0.41371E-03    0.18835E+02
    0.42207E-03    0.19201E+02
    0.43060E-03    0.19574E+02
    0.43929E-03    0.19954E+02
    0.44817E-03    0.20341E+02
    0.45722E-03    0.20736E+02
    0.46646E-03    0.21138E+02
    0.47588E-03    0.21548E+02
    0.48550E-03    0.21966E+02
    0.49530E-03    0.22391E+02
    0.50531E-03    0.22825E+02
    0.51552E-03    0.23268E+02
    0.52593E-03    0.23718E+02
    0.53656E-03    0.24178E+02
    0.54739E-03    0.24646E+02
    0.55845E-03    0.25122E+02
    0.56973E-03    0.25608E+02
    0.58124E-03    0.26104E+02
    0.59299E-03    0.26608E+02
    0.60496E-03    0.27122E+02
    0.61719E-03    0.27646E+02
    0.62965E-03    0.28180E+02
    0.64237E-03    0.28724E+02
    0.65535E-03    0.29278E+02
    0.66859E-03    0.29843E+02
    0.68210E-03    0.30418E+02
    0.69588E-03    0.31004E+02
    0.70993E-03    0.31601E+02
    0.72427E-03    0.32210E+02
    0.73891E-03    0.32829E+02
    0.75383E-03    0.33460E+02
    0.76906E-03    0.34103E+02
    0.78460E-03    0.34758E+02
    0.80045E-03    0.35425E+02
    0.81662E-03    0.36105E+02
    0.83311E-03    0.36797E+02
    0.84994E-03    0.37502E+02
    0.86711E-03    0.38220E+02
    0.88463E-03    0.38951E+02
    0.90250E-03    0.39695E+02
    0.92073E-03    0.40453E+02
    0.93933E-03    0.41225E+02
    0.95831E-03    0.42011E+02
    0.97767E-03    0.42811E+02
    0.99742E-03    0.43626E+02
    0.10176E-02    0.44455E+02
    0.10381E-02    0.45299E+02
    0.10591E-02    0.46159E+02
    0.10805E-02    0.47034E+02
    0.11023E-02    0.47924E+02
    0.11246E-02    0.48830E+02
    0.11473E-02    0.49753E+02
    0.11705E-02    0.50691E+02
    0.11941E-02    0.51646E+02
    0.12182E-02    0.52618E+02
    0.12429E-02    0.53607E+02
    0.12680E-02    0.54613E+02
    0.12936E-02    0.55636E+02
    0.13197E-02    0.56677E+02
    0.13464E-02    0.57736E+02
    0.13736E-02    0.58812E+02
    0.14013E-02    0.59907E+02
    0.14296E-02    0.61021E+02
    0.14585E-02    0.62153E+02
    0.14880E-02    0.63304E+02
    0.15180E-02    0.64474E+02
    0.15487E-02    0.65664E+02
    0.15800E-02    0.66873E+02
    0.16119E-02    0.68102E+02
    0.16445E-02    0.69350E+02
    0.16777E-02    0.70619E+02
    0.17116E-02    0.71908E+02
    0.17462E-02    0.73218E+02
    0.17814E-02    0.74548E+02
    0.18174E-02    0.75899E+02
    0.18541E-02    0.77271E+02
    0.18916E-02    0.78664E+02
    0.19298E-02    0.80078E+02
    0.19688E-02    0.81514E+02
    0.20086E-02    0.82972E+02
    0.20491E-02    0.84451E+02
    0.20905E-02    0.85952E+02
    0.21328E-02    0.87475E+02
