#           k/h    P           
    0.10000E-03    0.56262E+01
    0.10202E-03    0.57359E+01
    0.10408E-03    0.58478E+01
    0.10618E-03    0.59618E+01
    0.10833E-03    0.60781E+01
    0.11052E-03    0.61966E+01
    0.11275E-03    0.63175E+01
    0.11503E-03    0.64406E+01
    0.11735E-03    0.65662E+01
    0.11972E-03    0.66943E+01
    0.12214E-03    0.68248E+01
    0.12461E-03    0.69579E+01
    0.12712E-03    0.70936E+01
    0.12969E-03    0.72319E+01
    0.13231E-03    0.73729E+01
    0.13499E-03    0.75167E+01
    0.13771E-03    0.76632E+01
    0.14049E-03    0.78126E+01
    0.14333E-03    0.79650E+01
    0.14623E-03    0.81203E+01
    0.14918E-03    0.82786E+01
    0.15220E-03    0.84400E+01
    0.15527E-03    0.86045E+01
    0.15841E-03    0.87722E+01
    0.16161E-03    0.89433E+01
    0.16487E-03    0.91176E+01
    0.16820E-03    0.92953E+01
    0.17160E-03    0.94765E+01
    0.17507E-03    0.96612E+01
    0.17860E-03    0.98495E+01
    0.18221E-03    0.10042E+02
    0.18589E-03    0.10237E+02
    0.18965E-03    0.10437E+02
    0.19348E-03    0.10640E+02
    0.19739E-03    0.10847E+02
    0.20138E-03    0.11059E+02
    0.20544E-03    0.11274E+02
    0.20959E-03    0.11494E+02
    0.21383E-03    0.11718E+02
    0.21815E-03    0.11946E+02
    0.22255E-03    0.12179E+02
    0.22705E-03    0.12416E+02
    0.23164E-03    0.12658E+02
    0.23632E-03    0.12905E+02
    0.24109E-03    0.13156E+02
    0.24596E-03    0.13412E+02
    0.25093E-03    0.13673E+02
    0.25600E-03    0.13940E+02
    0.26117E-03    0.14211E+02
    0.26645E-03    0.14488E+02
    0.27183E-03    0.14770E+02
    0.27732E-03    0.15057E+02
    0.28292E-03    0.15351E+02
    0.28864E-03    0.15649E+02
    0.29447E-03    0.15954E+02
    0.30042E-03    0.16264E+02
    0.30649E-03    0.16581E+02
    0.31268E-03    0.16903E+02
    0.31899E-03    0.17232E+02
    0.32544E-03    0.17568E+02
    0.33201E-03    0.17909E+02
    0.33872E-03    0.18258E+02
    0.34556E-03    0.18613E+02
    0.35254E-03    0.18974E+02
    0.35966E-03    0.19343E+02
    0.36693E-03    0.19719E+02
    0.37434E-03    0.20103E+02
    0.38190E-03    0.20493E+02
    0.38962E-03    0.20891E+02
    0.39749E-03    0.21297E+02
    0.40552E-03    0.21711E+02
    0.41371E-03    0.22132E+02
    0.42207E-03    0.22562E+02
    0.43060E-03    0.23000E+02
    0.43929E-03    0.23446E+02
    0.44817E-03    0.23901E+02
    0.45722E-03    0.24365E+02
    0.46646E-03    0.24838E+02
    0.47588E-03    0.25319E+02
    0.48550E-03    0.25810E+02
    0.49530E-03    0.26310E+02
    0.50531E-03    0.26820E+02
    0.51552E-03    0.27340E+02
    0.52593E-03    0.27869E+02
    0.53656E-03    0.28408E+02
    0.54739E-03    0.28958E+02
    0.55845E-03    0.29519E+02
    0.56973E-03    0.30089E+02
    0.58124E-03    0.30671E+02
    0.59299E-03    0.31264E+02
    0.60496E-03    0.31868E+02
    0.61719E-03    0.32483E+02
    0.62965E-03    0.33111E+02
    0.64237E-03    0.33750E+02
    0.65535E-03    0.34400E+02
    0.66859E-03    0.35064E+02
    0.68210E-03    0.35739E+02
    0.69588E-03    0.36428E+02
    0.70993E-03    0.37129E+02
    0.72427E-03    0.37844E+02
    0.73891E-03    0.38571E+02
    0.75383E-03    0.39313E+02
    0.76906E-03    0.40068E+02
    0.78460E-03    0.40837E+02
    0.80045E-03    0.41621E+02
    0.81662E-03    0.42419E+02
    0.83311E-03    0.43231E+02
    0.84994E-03    0.44059E+02
    0.86711E-03    0.44902E+02
    0.88463E-03    0.45760E+02
    0.90250E-03    0.46635E+02
    0.92073E-03    0.47525E+02
    0.93933E-03    0.48431E+02
    0.95831E-03    0.49354E+02
    0.97767E-03    0.50293E+02
    0.99742E-03    0.51250E+02
    0.10176E-02    0.52224E+02
    0.10381E-02    0.53215E+02
    0.10591E-02    0.54224E+02
    0.10805E-02    0.55251E+02
    0.11023E-02    0.56297E+02
    0.11246E-02    0.57361E+02
    0.11473E-02    0.58443E+02
    0.11705E-02    0.59545E+02
    0.11941E-02    0.60666E+02
    0.12182E-02    0.61807E+02
    0.12429E-02    0.62968E+02
    0.12680E-02    0.64148E+02
    0.12936E-02    0.65349E+02
    0.13197E-02    0.66571E+02
    0.13464E-02    0.67813E+02
    0.13736E-02    0.69077E+02
    0.14013E-02    0.70362E+02
    0.14296E-02    0.71669E+02
    0.14585E-02    0.72998E+02
    0.14880E-02    0.74348E+02
    0.15180E-02    0.75722E+02
    0.15487E-02    0.77118E+02
    0.15800E-02    0.78536E+02
    0.16119E-02    0.79978E+02
    0.16445E-02    0.81443E+02
    0.16777E-02    0.82932E+02
    0.17116E-02    0.84444E+02
    0.17462E-02    0.85981E+02
    0.17814E-02    0.87541E+02
    0.18174E-02    0.89126E+02
    0.18541E-02    0.90736E+02
    0.18916E-02    0.92370E+02
    0.19298E-02    0.94029E+02
    0.19688E-02    0.95714E+02
    0.20086E-02    0.97424E+02
    0.20491E-02    0.99159E+02
    0.20905E-02    0.10092E+03
    0.21328E-02    0.10271E+03
    0.21758E-02    0.10452E+03
    0.22198E-02    0.10636E+03
    0.22646E-02    0.10822E+03
    0.23104E-02    0.11011E+03
    0.23571E-02    0.11203E+03
    0.24047E-02    0.11397E+03
    0.24533E-02    0.11594E+03
    0.25028E-02    0.11794E+03
