#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102819E-04   0.782753E+07   0.782753E+07   0.104347E+08   0.104346E+08   0.000000E+00   0.782753E+07   0.782753E+07   0.783666E+07  -0.591783E+00   0.750254E+07   0.750253E+07   0.101266E+02
   0.113644E-04   0.782753E+07   0.782753E+07   0.104343E+08   0.104342E+08   0.000000E+00   0.782753E+07   0.782753E+07   0.783666E+07  -0.591783E+00   0.750253E+07   0.750253E+07   0.111925E+02
   0.125608E-04   0.782752E+07   0.782752E+07   0.104337E+08   0.104336E+08   0.000000E+00   0.782752E+07   0.782752E+07   0.783665E+07  -0.591783E+00   0.750253E+07   0.750253E+07   0.123706E+02
   0.138832E-04   0.782752E+07   0.782752E+07   0.104330E+08   0.104329E+08   0.000000E+00   0.782752E+07   0.782752E+07   0.783665E+07  -0.591783E+00   0.750253E+07   0.750253E+07   0.136726E+02
   0.153447E-04   0.782752E+07   0.782752E+07   0.104322E+08   0.104321E+08   0.000000E+00   0.782752E+07   0.782752E+07   0.783665E+07  -0.591782E+00   0.750253E+07   0.750252E+07   0.151115E+02
   0.169602E-04   0.782751E+07   0.782751E+07   0.104312E+08   0.104310E+08   0.000000E+00   0.782751E+07   0.782751E+07   0.783664E+07  -0.591782E+00   0.750252E+07   0.750252E+07   0.167018E+02
   0.187457E-04   0.782751E+07   0.782751E+07   0.104300E+08   0.104298E+08   0.000000E+00   0.782751E+07   0.782751E+07   0.783664E+07  -0.591781E+00   0.750252E+07   0.750252E+07   0.184592E+02
   0.207192E-04   0.782750E+07   0.782750E+07   0.104285E+08   0.104282E+08   0.000000E+00   0.782750E+07   0.782750E+07   0.783663E+07  -0.591781E+00   0.750251E+07   0.750251E+07   0.204014E+02
   0.229004E-04   0.782749E+07   0.782749E+07   0.104267E+08   0.104263E+08   0.000000E+00   0.782749E+07   0.782749E+07   0.783662E+07  -0.591780E+00   0.750250E+07   0.750250E+07   0.225476E+02
   0.253113E-04   0.782748E+07   0.782748E+07   0.104245E+08   0.104240E+08   0.000000E+00   0.782748E+07   0.782748E+07   0.783661E+07  -0.591779E+00   0.750249E+07   0.750249E+07   0.249192E+02
   0.279760E-04   0.782747E+07   0.782747E+07   0.104218E+08   0.104212E+08   0.000000E+00   0.782747E+07   0.782747E+07   0.783659E+07  -0.591778E+00   0.750248E+07   0.750248E+07   0.275397E+02
   0.309213E-04   0.782746E+07   0.782746E+07   0.104185E+08   0.104178E+08   0.000000E+00   0.782746E+07   0.782746E+07   0.783658E+07  -0.591777E+00   0.750247E+07   0.750247E+07   0.304351E+02
   0.341766E-04   0.782744E+07   0.782744E+07   0.104145E+08   0.104136E+08   0.000000E+00   0.782744E+07   0.782744E+07   0.783656E+07  -0.591775E+00   0.750245E+07   0.750245E+07   0.336339E+02
   0.377746E-04   0.782742E+07   0.782742E+07   0.104096E+08   0.104085E+08   0.000000E+00   0.782742E+07   0.782742E+07   0.783653E+07  -0.591773E+00   0.750243E+07   0.750243E+07   0.371676E+02
   0.417514E-04   0.782740E+07   0.782739E+07   0.104036E+08   0.104022E+08   0.000000E+00   0.782740E+07   0.782740E+07   0.783650E+07  -0.591771E+00   0.750241E+07   0.750240E+07   0.410709E+02
   0.461468E-04   0.782737E+07   0.782736E+07   0.103962E+08   0.103946E+08   0.000000E+00   0.782736E+07   0.782736E+07   0.783646E+07  -0.591767E+00   0.750238E+07   0.750237E+07   0.453818E+02
   0.510050E-04   0.782733E+07   0.782732E+07   0.103873E+08   0.103853E+08   0.000000E+00   0.782733E+07   0.782733E+07   0.783642E+07  -0.591764E+00   0.750234E+07   0.750234E+07   0.501419E+02
   0.563747E-04   0.782728E+07   0.782727E+07   0.103763E+08   0.103739E+08   0.000000E+00   0.782728E+07   0.782728E+07   0.783636E+07  -0.591759E+00   0.750230E+07   0.750229E+07   0.553970E+02
   0.623096E-04   0.782722E+07   0.782721E+07   0.103630E+08   0.103601E+08   0.000000E+00   0.782722E+07   0.782722E+07   0.783629E+07  -0.591754E+00   0.750225E+07   0.750224E+07   0.611971E+02
   0.688694E-04   0.782716E+07   0.782714E+07   0.103467E+08   0.103432E+08   0.000000E+00   0.782715E+07   0.782715E+07   0.783621E+07  -0.591747E+00   0.750218E+07   0.750217E+07   0.675967E+02
   0.761198E-04   0.782707E+07   0.782706E+07   0.103269E+08   0.103225E+08   0.000000E+00   0.782707E+07   0.782707E+07   0.783610E+07  -0.591739E+00   0.750210E+07   0.750208E+07   0.746549E+02
   0.841334E-04   0.782697E+07   0.782695E+07   0.103027E+08   0.102974E+08   0.000000E+00   0.782696E+07   0.782696E+07   0.783598E+07  -0.591729E+00   0.750200E+07   0.750198E+07   0.824360E+02
   0.929907E-04   0.782684E+07   0.782682E+07   0.102732E+08   0.102667E+08   0.000000E+00   0.782684E+07   0.782684E+07   0.783583E+07  -0.591717E+00   0.750188E+07   0.750186E+07   0.910089E+02
   0.102781E-03   0.782669E+07   0.782666E+07   0.102373E+08   0.102294E+08   0.000000E+00   0.782668E+07   0.782668E+07   0.783564E+07  -0.591702E+00   0.750174E+07   0.750171E+07   0.100448E+03
   0.113601E-03   0.782650E+07   0.782647E+07   0.101936E+08   0.101840E+08   0.000000E+00   0.782649E+07   0.782649E+07   0.783541E+07  -0.591684E+00   0.750156E+07   0.750152E+07   0.110830E+03
   0.125560E-03   0.782627E+07   0.782623E+07   0.101405E+08   0.101288E+08   0.000000E+00   0.782626E+07   0.782626E+07   0.783513E+07  -0.591662E+00   0.750134E+07   0.750130E+07   0.122239E+03
   0.138779E-03   0.782599E+07   0.782594E+07   0.100760E+08   0.100617E+08   0.000000E+00   0.782598E+07   0.782598E+07   0.783480E+07  -0.591635E+00   0.750108E+07   0.750102E+07   0.134760E+03
   0.153389E-03   0.782565E+07   0.782559E+07   0.999764E+07   0.998033E+07   0.000000E+00   0.782564E+07   0.782564E+07   0.783438E+07  -0.591602E+00   0.750075E+07   0.750068E+07   0.148478E+03
   0.169538E-03   0.782523E+07   0.782516E+07   0.990276E+07   0.988176E+07   0.000000E+00   0.782522E+07   0.782522E+07   0.783388E+07  -0.591562E+00   0.750036E+07   0.750027E+07   0.163479E+03
   0.187386E-03   0.782472E+07   0.782464E+07   0.978802E+07   0.976259E+07   0.000000E+00   0.782471E+07   0.782471E+07   0.783327E+07  -0.591513E+00   0.749987E+07   0.749977E+07   0.179842E+03
