#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102819E-04   0.450875E+07   0.450875E+07   0.601101E+07   0.601099E+07   0.000000E+00   0.450875E+07   0.450875E+07   0.451798E+07  -0.598747E+00   0.447025E+07   0.447025E+07   0.996962E+01
   0.113644E-04   0.450875E+07   0.450875E+07   0.601087E+07   0.601084E+07   0.000000E+00   0.450875E+07   0.450875E+07   0.451798E+07  -0.598747E+00   0.447025E+07   0.447025E+07   0.110191E+02
   0.125608E-04   0.450875E+07   0.450875E+07   0.601069E+07   0.601065E+07   0.000000E+00   0.450875E+07   0.450875E+07   0.451798E+07  -0.598747E+00   0.447025E+07   0.447025E+07   0.121789E+02
   0.138832E-04   0.450875E+07   0.450875E+07   0.601047E+07   0.601043E+07   0.000000E+00   0.450875E+07   0.450875E+07   0.451797E+07  -0.598747E+00   0.447025E+07   0.447025E+07   0.134608E+02
   0.153447E-04   0.450875E+07   0.450875E+07   0.601020E+07   0.601015E+07   0.000000E+00   0.450875E+07   0.450875E+07   0.451797E+07  -0.598746E+00   0.447025E+07   0.447025E+07   0.148776E+02
   0.169602E-04   0.450875E+07   0.450875E+07   0.600987E+07   0.600981E+07   0.000000E+00   0.450875E+07   0.450875E+07   0.451797E+07  -0.598746E+00   0.447024E+07   0.447024E+07   0.164434E+02
   0.187457E-04   0.450874E+07   0.450874E+07   0.600947E+07   0.600940E+07   0.000000E+00   0.450874E+07   0.450874E+07   0.451797E+07  -0.598746E+00   0.447024E+07   0.447024E+07   0.181739E+02
   0.207192E-04   0.450874E+07   0.450874E+07   0.600898E+07   0.600889E+07   0.000000E+00   0.450874E+07   0.450874E+07   0.451796E+07  -0.598745E+00   0.447024E+07   0.447024E+07   0.200864E+02
   0.229004E-04   0.450874E+07   0.450874E+07   0.600838E+07   0.600828E+07   0.000000E+00   0.450874E+07   0.450874E+07   0.451796E+07  -0.598744E+00   0.447024E+07   0.447023E+07   0.221999E+02
   0.253113E-04   0.450873E+07   0.450873E+07   0.600765E+07   0.600752E+07   0.000000E+00   0.450873E+07   0.450873E+07   0.451795E+07  -0.598744E+00   0.447023E+07   0.447023E+07   0.245356E+02
   0.279760E-04   0.450873E+07   0.450872E+07   0.600676E+07   0.600660E+07   0.000000E+00   0.450873E+07   0.450873E+07   0.451794E+07  -0.598743E+00   0.447023E+07   0.447022E+07   0.271166E+02
   0.309213E-04   0.450872E+07   0.450872E+07   0.600567E+07   0.600548E+07   0.000000E+00   0.450872E+07   0.450872E+07   0.451794E+07  -0.598741E+00   0.447022E+07   0.447022E+07   0.299686E+02
   0.341766E-04   0.450871E+07   0.450871E+07   0.600434E+07   0.600410E+07   0.000000E+00   0.450871E+07   0.450871E+07   0.451793E+07  -0.598740E+00   0.447021E+07   0.447021E+07   0.331199E+02
   0.377746E-04   0.450870E+07   0.450870E+07   0.600272E+07   0.600243E+07   0.000000E+00   0.450870E+07   0.450870E+07   0.451791E+07  -0.598738E+00   0.447020E+07   0.447020E+07   0.366017E+02
   0.417514E-04   0.450869E+07   0.450869E+07   0.600074E+07   0.600038E+07   0.000000E+00   0.450869E+07   0.450869E+07   0.451790E+07  -0.598736E+00   0.447019E+07   0.447018E+07   0.404483E+02
   0.461468E-04   0.450867E+07   0.450867E+07   0.599832E+07   0.599788E+07   0.000000E+00   0.450867E+07   0.450867E+07   0.451788E+07  -0.598733E+00   0.447017E+07   0.447017E+07   0.446975E+02
   0.510050E-04   0.450865E+07   0.450865E+07   0.599536E+07   0.599482E+07   0.000000E+00   0.450865E+07   0.450865E+07   0.451785E+07  -0.598730E+00   0.447015E+07   0.447015E+07   0.493909E+02
   0.563747E-04   0.450863E+07   0.450863E+07   0.599175E+07   0.599109E+07   0.000000E+00   0.450863E+07   0.450863E+07   0.451783E+07  -0.598726E+00   0.447013E+07   0.447012E+07   0.545741E+02
   0.623096E-04   0.450860E+07   0.450860E+07   0.598734E+07   0.598654E+07   0.000000E+00   0.450860E+07   0.450860E+07   0.451779E+07  -0.598721E+00   0.447010E+07   0.447010E+07   0.602972E+02
