#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102819E-04   0.173961E+08   0.173961E+08   0.231841E+08   0.231837E+08   0.000000E+00   0.173961E+08   0.173961E+08   0.174038E+08  -0.501586E+00   0.106257E+08   0.106257E+08   0.629350E+01
   0.113644E-04   0.173961E+08   0.173961E+08   0.231817E+08   0.231813E+08   0.000000E+00   0.173961E+08   0.173961E+08   0.174038E+08  -0.501586E+00   0.106257E+08   0.106257E+08   0.695585E+01
   0.125608E-04   0.173961E+08   0.173961E+08   0.231788E+08   0.231783E+08   0.000000E+00   0.173961E+08   0.173961E+08   0.174038E+08  -0.501586E+00   0.106257E+08   0.106257E+08   0.768787E+01
   0.138832E-04   0.173961E+08   0.173961E+08   0.231752E+08   0.231746E+08   0.000000E+00   0.173961E+08   0.173961E+08   0.174038E+08  -0.501586E+00   0.106257E+08   0.106257E+08   0.849686E+01
   0.153447E-04   0.173961E+08   0.173961E+08   0.231709E+08   0.231701E+08   0.000000E+00   0.173961E+08   0.173961E+08   0.174038E+08  -0.501585E+00   0.106257E+08   0.106257E+08   0.939088E+01
   0.169602E-04   0.173961E+08   0.173961E+08   0.231656E+08   0.231646E+08   0.000000E+00   0.173961E+08   0.173961E+08   0.174038E+08  -0.501585E+00   0.106257E+08   0.106257E+08   0.103789E+02
   0.187457E-04   0.173960E+08   0.173960E+08   0.231591E+08   0.231579E+08   0.000000E+00   0.173960E+08   0.173960E+08   0.174038E+08  -0.501584E+00   0.106257E+08   0.106257E+08   0.114706E+02
   0.207192E-04   0.173960E+08   0.173960E+08   0.231512E+08   0.231498E+08   0.000000E+00   0.173960E+08   0.173960E+08   0.174038E+08  -0.501584E+00   0.106257E+08   0.106257E+08   0.126770E+02
   0.229004E-04   0.173960E+08   0.173960E+08   0.231415E+08   0.231398E+08   0.000000E+00   0.173960E+08   0.173960E+08   0.174037E+08  -0.501583E+00   0.106257E+08   0.106257E+08   0.140099E+02
   0.253113E-04   0.173960E+08   0.173960E+08   0.231297E+08   0.231276E+08   0.000000E+00   0.173960E+08   0.173960E+08   0.174037E+08  -0.501582E+00   0.106257E+08   0.106257E+08   0.154826E+02
   0.279760E-04   0.173959E+08   0.173959E+08   0.231153E+08   0.231128E+08   0.000000E+00   0.173959E+08   0.173959E+08   0.174037E+08  -0.501581E+00   0.106256E+08   0.106256E+08   0.171095E+02
   0.309213E-04   0.173959E+08   0.173959E+08   0.230977E+08   0.230946E+08   0.000000E+00   0.173959E+08   0.173959E+08   0.174036E+08  -0.501580E+00   0.106256E+08   0.106256E+08   0.189067E+02
