#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102819E-04   0.897592E+06   0.897592E+06   0.119676E+07   0.119676E+07   0.000000E+00   0.897592E+06   0.897592E+06   0.906733E+06  -0.601531E+00   0.895559E+06   0.895559E+06   0.110448E+00
   0.113644E-04   0.897592E+06   0.897592E+06   0.119676E+07   0.119676E+07   0.000000E+00   0.897592E+06   0.897592E+06   0.906733E+06  -0.601531E+00   0.895559E+06   0.895559E+06   0.122076E+00
   0.125608E-04   0.897592E+06   0.897592E+06   0.119675E+07   0.119675E+07   0.000000E+00   0.897592E+06   0.897592E+06   0.906733E+06  -0.601531E+00   0.895559E+06   0.895559E+06   0.134928E+00
   0.138832E-04   0.897591E+06   0.897591E+06   0.119674E+07   0.119674E+07   0.000000E+00   0.897591E+06   0.897591E+06   0.906732E+06  -0.601530E+00   0.895559E+06   0.895559E+06   0.149133E+00
   0.153447E-04   0.897591E+06   0.897591E+06   0.119673E+07   0.119673E+07   0.000000E+00   0.897591E+06   0.897591E+06   0.906732E+06  -0.601530E+00   0.895558E+06   0.895558E+06   0.164833E+00
   0.169602E-04   0.897591E+06   0.897591E+06   0.119672E+07   0.119672E+07   0.000000E+00   0.897591E+06   0.897591E+06   0.906732E+06  -0.601530E+00   0.895558E+06   0.895558E+06   0.182186E+00
   0.187457E-04   0.897591E+06   0.897591E+06   0.119671E+07   0.119670E+07   0.000000E+00   0.897591E+06   0.897591E+06   0.906731E+06  -0.601530E+00   0.895558E+06   0.895558E+06   0.201365E+00
   0.207192E-04   0.897590E+06   0.897590E+06   0.119669E+07   0.119669E+07   0.000000E+00   0.897590E+06   0.897590E+06   0.906731E+06  -0.601529E+00   0.895558E+06   0.895558E+06   0.222564E+00
   0.229004E-04   0.897590E+06   0.897590E+06   0.119667E+07   0.119666E+07   0.000000E+00   0.897590E+06   0.897590E+06   0.906730E+06  -0.601529E+00   0.895557E+06   0.895557E+06   0.245995E+00
   0.253113E-04   0.897589E+06   0.897589E+06   0.119664E+07   0.119663E+07   0.000000E+00   0.897589E+06   0.897589E+06   0.906730E+06  -0.601529E+00   0.895557E+06   0.895557E+06   0.271892E+00
   0.279760E-04   0.897589E+06   0.897589E+06   0.119660E+07   0.119660E+07   0.000000E+00   0.897589E+06   0.897589E+06   0.906729E+06  -0.601528E+00   0.895556E+06   0.895556E+06   0.300516E+00
   0.309213E-04   0.897588E+06   0.897588E+06   0.119656E+07   0.119656E+07   0.000000E+00   0.897588E+06   0.897588E+06   0.906728E+06  -0.601527E+00   0.895555E+06   0.895555E+06   0.332152E+00
   0.341766E-04   0.897587E+06   0.897587E+06   0.119651E+07   0.119650E+07   0.000000E+00   0.897587E+06   0.897587E+06   0.906726E+06  -0.601526E+00   0.895554E+06   0.895554E+06   0.367119E+00
   0.377746E-04   0.897586E+06   0.897586E+06   0.119645E+07   0.119644E+07   0.000000E+00   0.897586E+06   0.897586E+06   0.906725E+06  -0.601525E+00   0.895553E+06   0.895553E+06   0.405767E+00
   0.417514E-04   0.897584E+06   0.897584E+06   0.119638E+07   0.119636E+07   0.000000E+00   0.897584E+06   0.897584E+06   0.906723E+06  -0.601524E+00   0.895552E+06   0.895552E+06   0.448483E+00
   0.461468E-04   0.897583E+06   0.897582E+06   0.119629E+07   0.119627E+07   0.000000E+00   0.897583E+06   0.897583E+06   0.906720E+06  -0.601522E+00   0.895550E+06   0.895550E+06   0.495695E+00
   0.510050E-04   0.897581E+06   0.897580E+06   0.119617E+07   0.119616E+07   0.000000E+00   0.897581E+06   0.897581E+06   0.906717E+06  -0.601520E+00   0.895548E+06   0.895548E+06   0.547877E+00
   0.563747E-04   0.897578E+06   0.897578E+06   0.119604E+07   0.119602E+07   0.000000E+00   0.897578E+06   0.897578E+06   0.906714E+06  -0.601517E+00   0.895546E+06   0.895545E+06   0.605551E+00
   0.623096E-04   0.897575E+06   0.897574E+06   0.119587E+07   0.119584E+07   0.000000E+00   0.897575E+06   0.897575E+06   0.906709E+06  -0.601514E+00   0.895542E+06   0.895542E+06   0.669295E+00
   0.688694E-04   0.897571E+06   0.897571E+06   0.119567E+07   0.119563E+07   0.000000E+00   0.897571E+06   0.897571E+06   0.906704E+06  -0.601510E+00   0.895539E+06   0.895539E+06   0.739748E+00
   0.761198E-04   0.897566E+06   0.897566E+06   0.119542E+07   0.119538E+07   0.000000E+00   0.897566E+06   0.897566E+06   0.906697E+06  -0.601506E+00   0.895534E+06   0.895534E+06   0.817615E+00
   0.841334E-04   0.897561E+06   0.897560E+06   0.119512E+07   0.119507E+07   0.000000E+00   0.897560E+06   0.897560E+06   0.906689E+06  -0.601500E+00   0.895528E+06   0.895528E+06   0.903676E+00
   0.929907E-04   0.897554E+06   0.897553E+06   0.119475E+07   0.119468E+07   0.000000E+00   0.897553E+06   0.897553E+06   0.906679E+06  -0.601493E+00   0.895522E+06   0.895521E+06   0.998791E+00
   0.102781E-03   0.897545E+06   0.897544E+06   0.119429E+07   0.119422E+07   0.000000E+00   0.897545E+06   0.897545E+06   0.906667E+06  -0.601484E+00   0.895513E+06   0.895513E+06   0.110391E+01
   0.113601E-03   0.897535E+06   0.897533E+06   0.119374E+07   0.119365E+07   0.000000E+00   0.897534E+06   0.897534E+06   0.906652E+06  -0.601474E+00   0.895503E+06   0.895503E+06   0.122009E+01
   0.125560E-03   0.897522E+06   0.897520E+06   0.119307E+07   0.119295E+07   0.000000E+00   0.897521E+06   0.897521E+06   0.906634E+06  -0.601461E+00   0.895490E+06   0.895490E+06   0.134849E+01
   0.138779E-03   0.897506E+06   0.897504E+06   0.119224E+07   0.119210E+07   0.000000E+00   0.897506E+06   0.897506E+06   0.906612E+06  -0.601446E+00   0.895475E+06   0.895475E+06   0.149038E+01
   0.153389E-03   0.897487E+06   0.897485E+06   0.119124E+07   0.119107E+07   0.000000E+00   0.897487E+06   0.897487E+06   0.906585E+06  -0.601427E+00   0.895456E+06   0.895456E+06   0.164719E+01
   0.169538E-03   0.897464E+06   0.897461E+06   0.119001E+07   0.118980E+07   0.000000E+00   0.897463E+06   0.897463E+06   0.906552E+06  -0.601404E+00   0.895434E+06   0.895433E+06   0.182048E+01
   0.187386E-03   0.897435E+06   0.897432E+06   0.118851E+07   0.118826E+07   0.000000E+00   0.897435E+06   0.897435E+06   0.906512E+06  -0.601375E+00   0.895406E+06   0.895405E+06   0.201196E+01
   0.207114E-03   0.897400E+06   0.897396E+06   0.118669E+07   0.118638E+07   0.000000E+00   0.897400E+06   0.897400E+06   0.906463E+06  -0.601341E+00   0.895372E+06   0.895371E+06   0.222354E+01
   0.228918E-03   0.897358E+06   0.897353E+06   0.118446E+07   0.118408E+07   0.000000E+00   0.897357E+06   0.897357E+06   0.906403E+06  -0.601299E+00   0.895330E+06   0.895329E+06   0.245732E+01
   0.253018E-03   0.897306E+06   0.897300E+06   0.118174E+07   0.118128E+07   0.000000E+00   0.897305E+06   0.897305E+06   0.906330E+06  -0.601247E+00   0.895279E+06   0.895278E+06   0.271560E+01
   0.279655E-03   0.897243E+06   0.897235E+06   0.117843E+07   0.117787E+07   0.000000E+00   0.897242E+06   0.897242E+06   0.906241E+06  -0.601184E+00   0.895217E+06   0.895216E+06   0.300093E+01
   0.309096E-03   0.897165E+06   0.897156E+06   0.117439E+07   0.117371E+07   0.000000E+00   0.897164E+06   0.897164E+06   0.906132E+06  -0.601108E+00   0.895141E+06   0.895140E+06   0.331609E+01
   0.341636E-03   0.897071E+06   0.897060E+06   0.116948E+07   0.116865E+07   0.000000E+00   0.897069E+06   0.897069E+06   0.905999E+06  -0.601014E+00   0.895049E+06   0.895048E+06   0.366417E+01
   0.377603E-03   0.896956E+06   0.896942E+06   0.116350E+07   0.116250E+07   0.000000E+00   0.896954E+06   0.896954E+06   0.905838E+06  -0.600900E+00   0.894936E+06   0.894934E+06   0.404854E+01
   0.417356E-03   0.896815E+06   0.896799E+06   0.115624E+07   0.115502E+07   0.000000E+00   0.896813E+06   0.896813E+06   0.905641E+06  -0.600761E+00   0.894798E+06   0.894796E+06   0.447289E+01
   0.461294E-03   0.896644E+06   0.896624E+06   0.114743E+07   0.114595E+07   0.000000E+00   0.896641E+06   0.896641E+06   0.905400E+06  -0.600592E+00   0.894630E+06   0.894628E+06   0.494127E+01
   0.509857E-03   0.896435E+06   0.896410E+06   0.113674E+07   0.113496E+07   0.000000E+00   0.896431E+06   0.896431E+06   0.905108E+06  -0.600385E+00   0.894425E+06   0.894422E+06   0.545808E+01
   0.563534E-03   0.896180E+06   0.896150E+06   0.112380E+07   0.112166E+07   0.000000E+00   0.896175E+06   0.896175E+06   0.904752E+06  -0.600134E+00   0.894175E+06   0.894172E+06   0.602814E+01
   0.622861E-03   0.895870E+06   0.895833E+06   0.110819E+07   0.110561E+07   0.000000E+00   0.895864E+06   0.895864E+06   0.904320E+06  -0.599829E+00   0.893870E+06   0.893866E+06   0.665664E+01
   0.688433E-03   0.895492E+06   0.895447E+06   0.108938E+07   0.108629E+07   0.000000E+00   0.895484E+06   0.895484E+06   0.903795E+06  -0.599459E+00   0.893499E+06   0.893493E+06   0.734920E+01
   0.760910E-03   0.895031E+06   0.894977E+06   0.106679E+07   0.106312E+07   0.000000E+00   0.895022E+06   0.895022E+06   0.903159E+06  -0.599009E+00   0.893046E+06   0.893040E+06   0.811186E+01
   0.841016E-03   0.894472E+06   0.894405E+06   0.103978E+07   0.103543E+07   0.000000E+00   0.894461E+06   0.894461E+06   0.902390E+06  -0.598465E+00   0.892496E+06   0.892488E+06   0.895107E+01
   0.929556E-03   0.893793E+06   0.893711E+06   0.100763E+07   0.100252E+07   0.000000E+00   0.893779E+06   0.893779E+06   0.901460E+06  -0.597806E+00   0.891827E+06   0.891817E+06   0.987365E+01
   0.102742E-02   0.892969E+06   0.892869E+06   0.969590E+06   0.963642E+06   0.000000E+00   0.892952E+06   0.892952E+06   0.900339E+06  -0.597012E+00   0.891014E+06   0.891002E+06   0.108867E+02
   0.113558E-02   0.891970E+06   0.891849E+06   0.924906E+06   0.918057E+06   0.000000E+00   0.891950E+06   0.891950E+06   0.898993E+06  -0.596057E+00   0.890028E+06   0.890014E+06   0.119978E+02
   0.125513E-02   0.890764E+06   0.890615E+06   0.872890E+06   0.865115E+06   0.000000E+00   0.890739E+06   0.890739E+06   0.897382E+06  -0.594912E+00   0.888834E+06   0.888816E+06   0.132143E+02
   0.138727E-02   0.889308E+06   0.889126E+06   0.813009E+06   0.804341E+06   0.000000E+00   0.889278E+06   0.889278E+06   0.895461E+06  -0.593544E+00   0.887390E+06   0.887369E+06   0.145438E+02
   0.153331E-02   0.887557E+06   0.887335E+06   0.745027E+06   0.735585E+06   0.000000E+00   0.887520E+06   0.887520E+06   0.893181E+06  -0.591918E+00   0.885649E+06   0.885623E+06   0.159940E+02
   0.169474E-02   0.885456E+06   0.885186E+06   0.669176E+06   0.659197E+06   0.000000E+00   0.885411E+06   0.885411E+06   0.890491E+06  -0.589996E+00   0.883554E+06   0.883523E+06   0.175718E+02
   0.187315E-02   0.882946E+06   0.882616E+06   0.586372E+06   0.576243E+06   0.000000E+00   0.882891E+06   0.882891E+06   0.887338E+06  -0.587738E+00   0.881043E+06   0.881005E+06   0.192839E+02
   0.207035E-02   0.879960E+06   0.879558E+06   0.498447E+06   0.488720E+06   0.000000E+00   0.879893E+06   0.879893E+06   0.883670E+06  -0.585105E+00   0.878045E+06   0.877999E+06   0.211363E+02
