#           k/h    P           
    0.10000E-03    0.61708E+02
    0.10202E-03    0.62911E+02
    0.10408E-03    0.64138E+02
    0.10618E-03    0.65388E+02
    0.10833E-03    0.66663E+02
    0.11052E-03    0.67963E+02
    0.11275E-03    0.69289E+02
    0.11503E-03    0.70640E+02
    0.11735E-03    0.72017E+02
    0.11972E-03    0.73421E+02
    0.12214E-03    0.74853E+02
    0.12461E-03    0.76312E+02
    0.12712E-03    0.77800E+02
    0.12969E-03    0.79316E+02
    0.13231E-03    0.80863E+02
    0.13499E-03    0.82439E+02
    0.13771E-03    0.84046E+02
    0.14049E-03    0.85685E+02
    0.14333E-03    0.87355E+02
    0.14623E-03    0.89058E+02
    0.14918E-03    0.90794E+02
    0.15220E-03    0.92563E+02
    0.15527E-03    0.94367E+02
    0.15841E-03    0.96206E+02
    0.16161E-03    0.98081E+02
    0.16487E-03    0.99993E+02
    0.16820E-03    0.10194E+03
    0.17160E-03    0.10393E+03
    0.17507E-03    0.10595E+03
    0.17860E-03    0.10802E+03
    0.18221E-03    0.11012E+03
    0.18589E-03    0.11227E+03
    0.18965E-03    0.11445E+03
    0.19348E-03    0.11668E+03
    0.19739E-03    0.11896E+03
    0.20138E-03    0.12127E+03
    0.20544E-03    0.12364E+03
    0.20959E-03    0.12604E+03
    0.21383E-03    0.12850E+03
    0.21815E-03    0.13100E+03
    0.22255E-03    0.13355E+03
    0.22705E-03    0.13615E+03
    0.23164E-03    0.13880E+03
    0.23632E-03    0.14151E+03
    0.24109E-03    0.14426E+03
    0.24596E-03    0.14707E+03
    0.25093E-03    0.14993E+03
    0.25600E-03    0.15285E+03
    0.26117E-03    0.15582E+03
    0.26645E-03    0.15886E+03
    0.27183E-03    0.16195E+03
    0.27732E-03    0.16510E+03
    0.28292E-03    0.16831E+03
    0.28864E-03    0.17158E+03
    0.29447E-03    0.17492E+03
    0.30042E-03    0.17832E+03
    0.30649E-03    0.18179E+03
    0.31268E-03    0.18532E+03
    0.31899E-03    0.18892E+03
    0.32544E-03    0.19259E+03
    0.33201E-03    0.19633E+03
    0.33872E-03    0.20015E+03
    0.34556E-03    0.20404E+03
    0.35254E-03    0.20800E+03
    0.35966E-03    0.21204E+03
    0.36693E-03    0.21615E+03
    0.37434E-03    0.22035E+03
    0.38190E-03    0.22463E+03
    0.38962E-03    0.22898E+03
    0.39749E-03    0.23343E+03
    0.40552E-03    0.23795E+03
    0.41371E-03    0.24257E+03
    0.42207E-03    0.24727E+03
    0.43060E-03    0.25206E+03
    0.43929E-03    0.25694E+03
    0.44817E-03    0.26192E+03
    0.45722E-03    0.26699E+03
    0.46646E-03    0.27216E+03
    0.47588E-03    0.27743E+03
    0.48550E-03    0.28279E+03
    0.49530E-03    0.28826E+03
    0.50531E-03    0.29384E+03
    0.51552E-03    0.29951E+03
    0.52593E-03    0.30530E+03
    0.53656E-03    0.31120E+03
    0.54739E-03    0.31720E+03
    0.55845E-03    0.32333E+03
    0.56973E-03    0.32956E+03
    0.58124E-03    0.33592E+03
    0.59299E-03    0.34239E+03
    0.60496E-03    0.34899E+03
    0.61719E-03    0.35571E+03
    0.62965E-03    0.36255E+03
    0.64237E-03    0.36953E+03
    0.65535E-03    0.37663E+03
    0.66859E-03    0.38387E+03
    0.68210E-03    0.39124E+03
    0.69588E-03    0.39875E+03
    0.70993E-03    0.40639E+03
    0.72427E-03    0.41418E+03
    0.73891E-03    0.42212E+03
    0.75383E-03    0.43020E+03
    0.76906E-03    0.43843E+03
    0.78460E-03    0.44681E+03
    0.80045E-03    0.45535E+03
    0.81662E-03    0.46404E+03
    0.83311E-03    0.47289E+03
    0.84994E-03    0.48190E+03
    0.86711E-03    0.49108E+03
    0.88463E-03    0.50042E+03
    0.90250E-03    0.50993E+03
    0.92073E-03    0.51962E+03
    0.93933E-03    0.52947E+03
    0.95831E-03    0.53951E+03
    0.97767E-03    0.54973E+03
    0.99742E-03    0.56013E+03
    0.10176E-02    0.57071E+03
    0.10381E-02    0.58148E+03
    0.10591E-02    0.59245E+03
    0.10805E-02    0.60361E+03
    0.11023E-02    0.61496E+03
    0.11246E-02    0.62652E+03
    0.11473E-02    0.63827E+03
    0.11705E-02    0.65024E+03
    0.11941E-02    0.66241E+03
    0.12182E-02    0.67479E+03
    0.12429E-02    0.68738E+03
    0.12680E-02    0.70019E+03
    0.12936E-02    0.71323E+03
    0.13197E-02    0.72648E+03
    0.13464E-02    0.73996E+03
    0.13736E-02    0.75367E+03
    0.14013E-02    0.76761E+03
    0.14296E-02    0.78178E+03
    0.14585E-02    0.79619E+03
    0.14880E-02    0.81084E+03
    0.15180E-02    0.82573E+03
    0.15487E-02    0.84087E+03
    0.15800E-02    0.85626E+03
    0.16119E-02    0.87189E+03
    0.16445E-02    0.88778E+03
    0.16777E-02    0.90393E+03
    0.17116E-02    0.92034E+03
    0.17462E-02    0.93700E+03
    0.17814E-02    0.95394E+03
    0.18174E-02    0.97113E+03
    0.18541E-02    0.98860E+03
    0.18916E-02    0.10063E+04
    0.19298E-02    0.10243E+04
    0.19688E-02    0.10426E+04
    0.20086E-02    0.10612E+04
    0.20491E-02    0.10800E+04
    0.20905E-02    0.10992E+04
    0.21328E-02    0.11186E+04
    0.21758E-02    0.11383E+04
    0.22198E-02    0.11582E+04
    0.22646E-02    0.11785E+04
    0.23104E-02    0.11991E+04
    0.23571E-02    0.12199E+04
    0.24047E-02    0.12410E+04
    0.24533E-02    0.12625E+04
    0.25028E-02    0.12842E+04
    0.25534E-02    0.13062E+04
    0.26050E-02    0.13285E+04
    0.26576E-02    0.13511E+04
    0.27113E-02    0.13740E+04
    0.27660E-02    0.13972E+04
    0.28219E-02    0.14207E+04
    0.28789E-02    0.14444E+04
    0.29371E-02    0.14685E+04
    0.29964E-02    0.14928E+04
    0.30569E-02    0.15175E+04
    0.31187E-02    0.15424E+04
    0.31817E-02    0.15676E+04
    0.32460E-02    0.15931E+04
    0.33115E-02    0.16189E+04
    0.33784E-02    0.16449E+04
    0.34467E-02    0.16712E+04
    0.35163E-02    0.16978E+04
    0.35874E-02    0.17247E+04
    0.36598E-02    0.17518E+04
    0.37338E-02    0.17792E+04
    0.38092E-02    0.18068E+04
    0.38861E-02    0.18346E+04
    0.39646E-02    0.18628E+04
    0.40447E-02    0.18911E+04
    0.41264E-02    0.19197E+04
    0.42098E-02    0.19484E+04
    0.42948E-02    0.19774E+04
    0.43816E-02    0.20066E+04
    0.44701E-02    0.20360E+04
    0.45604E-02    0.20656E+04
    0.46525E-02    0.20954E+04
    0.47465E-02    0.21253E+04
    0.48424E-02    0.21554E+04
    0.49402E-02    0.21856E+04
    0.50400E-02    0.22159E+04
    0.51419E-02    0.22464E+04
    0.52457E-02    0.22769E+04
    0.53517E-02    0.23076E+04
    0.54598E-02    0.23383E+04
    0.55701E-02    0.23691E+04
    0.56826E-02    0.24000E+04
    0.57974E-02    0.24309E+04
    0.59145E-02    0.24618E+04
    0.60340E-02    0.24927E+04
    0.61559E-02    0.25235E+04
    0.62803E-02    0.25544E+04
    0.64072E-02    0.25852E+04
    0.65366E-02    0.26159E+04
    0.66686E-02    0.26465E+04
    0.68033E-02    0.26770E+04
    0.69408E-02    0.27073E+04
    0.70810E-02    0.27375E+04
    0.72240E-02    0.27675E+04
    0.73700E-02    0.27973E+04
    0.75189E-02    0.28269E+04
    0.76708E-02    0.28562E+04
    0.78257E-02    0.28852E+04
    0.79838E-02    0.29139E+04
    0.81451E-02    0.29423E+04
    0.83096E-02    0.29703E+04
    0.84775E-02    0.29980E+04
    0.86488E-02    0.30252E+04
    0.88235E-02    0.30520E+04
    0.90017E-02    0.30783E+04
    0.91836E-02    0.31041E+04
    0.93691E-02    0.31294E+04
    0.95583E-02    0.31541E+04
    0.97514E-02    0.31782E+04
    0.99484E-02    0.32017E+04
    0.10149E-01    0.32245E+04
    0.10354E-01    0.32466E+04
    0.10564E-01    0.32680E+04
    0.10777E-01    0.32887E+04
    0.10995E-01    0.33085E+04
    0.11217E-01    0.33276E+04
    0.11443E-01    0.33458E+04
    0.11675E-01    0.33630E+04
    0.11910E-01    0.33794E+04
    0.12151E-01    0.33948E+04
    0.12397E-01    0.34092E+04
    0.12647E-01    0.34225E+04
    0.12902E-01    0.34349E+04
    0.13163E-01    0.34461E+04
    0.13429E-01    0.34561E+04
    0.13700E-01    0.34650E+04
    0.13977E-01    0.34727E+04
    0.14259E-01    0.34792E+04
    0.14547E-01    0.34844E+04
    0.14841E-01    0.34883E+04
    0.15141E-01    0.34909E+04
    0.15447E-01    0.34921E+04
    0.15759E-01    0.34919E+04
    0.16077E-01    0.34903E+04
    0.16402E-01    0.34873E+04
    0.16734E-01    0.34828E+04
    0.17072E-01    0.34769E+04
    0.17416E-01    0.34693E+04
    0.17768E-01    0.34602E+04
    0.18127E-01    0.34495E+04
    0.18493E-01    0.34372E+04
    0.18867E-01    0.34234E+04
    0.19248E-01    0.34080E+04
    0.19637E-01    0.33911E+04
    0.20034E-01    0.33727E+04
    0.20438E-01    0.33527E+04
    0.20851E-01    0.33311E+04
    0.21272E-01    0.33079E+04
    0.21702E-01    0.32829E+04
    0.22141E-01    0.32562E+04
    0.22588E-01    0.32278E+04
    0.23044E-01    0.31978E+04
    0.23510E-01    0.31662E+04
    0.23985E-01    0.31332E+04
    0.24469E-01    0.30987E+04
    0.24964E-01    0.30629E+04
    0.25468E-01    0.30257E+04
