#           k/h    P           
    0.10000E-03    0.56264E+01
    0.10202E-03    0.57362E+01
    0.10408E-03    0.58480E+01
    0.10618E-03    0.59621E+01
    0.10833E-03    0.60783E+01
    0.11052E-03    0.61969E+01
    0.11275E-03    0.63177E+01
    0.11503E-03    0.64409E+01
    0.11735E-03    0.65665E+01
    0.11972E-03    0.66946E+01
    0.12214E-03    0.68251E+01
    0.12461E-03    0.69582E+01
    0.12712E-03    0.70939E+01
    0.12969E-03    0.72322E+01
    0.13231E-03    0.73732E+01
    0.13499E-03    0.75170E+01
    0.13771E-03    0.76636E+01
    0.14049E-03    0.78130E+01
    0.14333E-03    0.79653E+01
    0.14623E-03    0.81206E+01
    0.14918E-03    0.82789E+01
    0.15220E-03    0.84404E+01
    0.15527E-03    0.86049E+01
    0.15841E-03    0.87727E+01
    0.16161E-03    0.89437E+01
    0.16487E-03    0.91180E+01
    0.16820E-03    0.92958E+01
    0.17160E-03    0.94770E+01
    0.17507E-03    0.96617E+01
    0.17860E-03    0.98500E+01
    0.18221E-03    0.10042E+02
    0.18589E-03    0.10238E+02
    0.18965E-03    0.10437E+02
    0.19348E-03    0.10641E+02
    0.19739E-03    0.10848E+02
    0.20138E-03    0.11059E+02
    0.20544E-03    0.11275E+02
    0.20959E-03    0.11495E+02
    0.21383E-03    0.11719E+02
    0.21815E-03    0.11947E+02
    0.22255E-03    0.12180E+02
    0.22705E-03    0.12417E+02
    0.23164E-03    0.12659E+02
    0.23632E-03    0.12905E+02
    0.24109E-03    0.13157E+02
    0.24596E-03    0.13413E+02
    0.25093E-03    0.13674E+02
    0.25600E-03    0.13941E+02
    0.26117E-03    0.14212E+02
    0.26645E-03    0.14489E+02
    0.27183E-03    0.14771E+02
    0.27732E-03    0.15058E+02
    0.28292E-03    0.15351E+02
    0.28864E-03    0.15650E+02
    0.29447E-03    0.15955E+02
    0.30042E-03    0.16265E+02
    0.30649E-03    0.16582E+02
    0.31268E-03    0.16905E+02
    0.31899E-03    0.17233E+02
    0.32544E-03    0.17569E+02
    0.33201E-03    0.17910E+02
